epoch_checkpoint_id,epoch_model,aa_attachment_model,aa_detailed_group_id,aa_detailed_model,creator_slug,epoch_release_date,aa_release_date,date_delta_days,epoch_parameters_b,aa_parameters_b,aa_over_epoch_parameters,absolute_log_parameter_difference,name_similarity,creator_agreement,date_within_45_days,parameters_within_20_percent,match_method
checkpoint:meta:llama-3-1-405b,Llama 3.1-405B,Llama 3.1 405B,weights:https://huggingface.co/meta-llama/meta-llama-3.1-405b|405||2024-07-23,Llama 3.1 Instruct 405B,meta,2024-07-23,2024-07-23,0,405.0,405.0,1.0,0.0,1.0,True,True,True,creator + name similarity + date + parameter scale
checkpoint:epoch:llama-3-2-11b,Llama 3.2 11B,Llama 3.2 11B (Vision),weights:https://huggingface.co/meta-llama/llama-3.2-11b-vision-instruct|11||2024-09-25,Llama 3.2 Instruct 11B (Vision),meta,2024-09-24,2024-09-25,1,10.6,11.0,1.0377358490566038,0.037041271680349076,1.0,True,True,True,creator + name similarity + date + parameter scale
checkpoint:meta:llama-3-2-90b,Llama 3.2 90B,Llama 3.2 90B (Vision),weights:https://huggingface.co/meta-llama/llama-3.2-90b-vision|90||2024-09-25,Llama 3.2 Instruct 90B (Vision),meta,2024-09-24,2024-09-25,1,88.6,90.0,1.0158013544018059,0.01567781271922979,1.0,True,True,True,creator + name similarity + date + parameter scale
checkpoint:meta:llama-3-3-70b,Llama 3.3 70B,Llama 3.3 70B,weights:https://huggingface.co/meta-llama/llama-3.3-70b-instruct|70||2024-12-06,Llama 3.3 Instruct 70B,meta,2024-12-06,2024-12-06,0,70.0,70.0,1.0,0.0,1.0,True,True,True,creator + name similarity + date + parameter scale
checkpoint:microsoft-research:phi-4,Phi-4,Phi-4,weights:https://huggingface.co/microsoft/phi-4|14||2024-12-12,Phi-4,azure,2024-12-12,2024-12-12,0,14.0,14.0,1.0,0.0,1.0,True,True,True,creator + name similarity + date + parameter scale
checkpoint:epoch:r1-1776,R1 1776,R1 1776,weights:https://huggingface.co/perplexity-ai/r1-1776|671|37|2025-02-18,R1 1776,perplexity,2025-02-18,2025-02-18,0,671.0,671.0,1.0,0.0,1.0,True,True,True,creator + name similarity + date + parameter scale
checkpoint:epoch:phi-4-mini,Phi-4 Mini,Phi-4 Mini,weights:https://huggingface.co/microsoft/phi-4-mini-instruct|3.84||2024-02-26,Phi-4 Mini Instruct,azure,2025-03-03,2024-02-26,-371,3.8,3.84,1.0105263157894737,0.010471299867295437,1.0,True,False,True,manual explicit identity crosswalk: exact model identity; AA release year is inconsistent with the 2025 public release
checkpoint:epoch:phi-4-multimodal,Phi-4-Multimodal,Phi-4 Multimodal,weights:https://huggingface.co/microsoft/phi-4-multimodal-instruct|5.6||2025-02-26,Phi-4 Multimodal Instruct,azure,2025-03-03,2025-02-26,-5,5.6,5.6,1.0,0.0,1.0,True,True,True,creator + name similarity + date + parameter scale
checkpoint:epoch:reka-flash-3,Reka Flash 3,Reka Flash 3,weights:https://huggingface.co/rekaai/reka-flash-3|21||2025-03-10,Reka Flash 3,reka-ai,2025-03-10,2025-03-10,0,21.0,21.0,1.0,0.0,1.0,True,True,True,creator + name similarity + date + parameter scale
checkpoint:epoch:cohere-command-a,Cohere Command A,Command A,weights:https://huggingface.co/cohereforai/c4ai-command-a-03-2025|111||2025-03-13,Command A,cohere,2025-03-13,2025-03-13,0,111.0,111.0,1.0,0.0,1.0,True,True,True,creator + name similarity + date + parameter scale
checkpoint:epoch:llama-nemotron-ultra-253b,Llama Nemotron Ultra 253B,Llama Nemotron Ultra,weights:https://huggingface.co/nvidia/llama-3_1-nemotron-ultra-253b-v1|253||2025-04-07,Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),nvidia,2025-03-18,2025-04-07,20,253.0,253.0,1.0,0.0,0.9166666666666666,True,True,True,creator + name similarity + date + parameter scale
checkpoint:epoch:deephermes-3-mistral-24b,DeepHermes 3 - Mistral 24B,DeepHermes 3 - Mistral 24B,weights:https://huggingface.co/nousresearch/deephermes-3-mistral-24b-preview|24||2025-03-13,DeepHermes 3 - Mistral 24B Preview (Non-reasoning),nous-research,2025-03-29,2025-03-13,-16,24.0,24.0,1.0,0.0,1.0,True,True,True,creator + name similarity + date + parameter scale
checkpoint:meta:llama-4-maverick,Llama 4 Maverick,Llama 4 Maverick,weights:https://huggingface.co/meta-llama/llama-4-maverick-17b-128e-instruct|402|17|2025-04-05,Llama 4 Maverick,meta,2025-04-05,2025-04-05,0,400.0,402.0,1.005,0.004987541511038968,1.0,True,True,True,creator + name similarity + date + parameter scale
checkpoint:meta:llama-4-scout,Llama 4 Scout,Llama 4 Scout,weights:https://huggingface.co/meta-llama/llama-4-scout-17b-16e-instruct|109|17|2025-04-05,Llama 4 Scout,meta,2025-04-05,2025-04-05,0,109.0,109.0,1.0,0.0,1.0,True,True,True,creator + name similarity + date + parameter scale
