panel_id,model,release_date,aa_score,total_parameters_b,raw_total_parameters_b,developer,estimated_score,panel_source,also_in_current_panel,overlap_current_model,canonical_checkpoint_id,matched_epoch_model,epoch_accessibility,aa_source,parameter_source,epoch_parameter_notes,epoch_total_parameters_b,parameter_reconciliation,parameter_label_available_date,aa_slug,aa_score_available_date,aa_score_availability_verified
checkpoint:meta:llama-3-1-405b,Llama 3.1 405B,2024-07-23,9.0,405.0,405.0,meta,1,exact_epoch_checkpoint,False,,checkpoint:meta:llama-3-1-405b,Llama 3.1-405B,Open weights (restricted use),sources/input_artificial_analysis_leaderboard_2026-07-17.txt,https://ai.meta.com/research/publications/the-llama-3-herd-of-models/,405B,405.0,exact_epoch_parameter_match,2024-07-23,,2024-07-23,False
checkpoint:epoch:llama-3-2-11b,Llama 3.2 11B (Vision),2024-09-24,3.0,10.6,10.6,meta,1,exact_epoch_checkpoint,False,,checkpoint:epoch:llama-3-2-11b,Llama 3.2 11B,Open weights (restricted use),sources/input_artificial_analysis_leaderboard_2026-07-17.txt,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/,https://huggingface.co/meta-llama/Llama-3.2-11B-Vision,10.6,exact_epoch_parameter_match,2024-09-24,,2024-09-24,False
checkpoint:meta:llama-3-2-90b,Llama 3.2 90B (Vision),2024-09-24,6.0,88.6,88.6,meta,1,exact_epoch_checkpoint,False,,checkpoint:meta:llama-3-2-90b,Llama 3.2 90B,Open weights (restricted use),sources/input_artificial_analysis_leaderboard_2026-07-17.txt,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/,https://huggingface.co/meta-llama/Llama-3.2-90B-Vision,88.6,exact_epoch_parameter_match,2024-09-24,,2024-09-24,False
checkpoint:meta:llama-3-3-70b,Llama 3.3 70B,2024-12-06,9.0,70.0,70.0,meta,0,exact_epoch_checkpoint,False,,checkpoint:meta:llama-3-3-70b,Llama 3.3 70B,Open weights (restricted use),sources/input_artificial_analysis_leaderboard_2026-07-17.txt,https://www.llama.com/docs/model-cards-and-prompt-formats/llama3_3/,70B,70.0,exact_epoch_parameter_match,2024-12-06,,2024-12-06,False
checkpoint:microsoft-research:phi-4,Phi-4,2024-12-12,5.0,14.0,14.0,microsoft,1,exact_epoch_checkpoint,False,,checkpoint:microsoft-research:phi-4,Phi-4,Open weights (unrestricted),sources/input_artificial_analysis_leaderboard_2026-07-17.txt,https://arxiv.org/abs/2412.08905,"14B parameters, dense decoder-only Transformer model",14.0,exact_epoch_parameter_match,2024-12-12,,2024-12-12,False
checkpoint:epoch:r1-1776,R1 1776,2025-02-18,6.0,671.0,671.0,perplexity,1,exact_epoch_checkpoint,False,,checkpoint:epoch:r1-1776,R1 1776,Open weights (unrestricted),sources/input_artificial_analysis_leaderboard_2026-07-17.txt,https://www.perplexity.ai/hub/blog/open-sourcing-r1-1776,671B params,671.0,exact_epoch_parameter_match,2025-02-18,,2025-02-18,False
checkpoint:epoch:phi-4-mini,Phi-4 Mini,2025-03-03,6.0,3.8,3.8,microsoft,0,exact_epoch_checkpoint,False,,checkpoint:epoch:phi-4-mini,Phi-4 Mini,Open weights (unrestricted),sources/input_artificial_analysis_leaderboard_2026-07-17.txt,https://arxiv.org/abs/2503.01743,"3.8-billion
dense decoder-only Transformer model",3.8,exact_epoch_parameter_match,2025-03-03,,2025-03-03,False
checkpoint:epoch:phi-4-multimodal,Phi-4 Multimodal,2025-03-03,5.0,5.6,5.6,microsoft,1,exact_epoch_checkpoint,False,,checkpoint:epoch:phi-4-multimodal,Phi-4-Multimodal,Open weights (unrestricted),sources/input_artificial_analysis_leaderboard_2026-07-17.txt,https://arxiv.org/abs/2503.01743,"5.6B

1. base: Phi-4 Mini (3.8b parameters) 
2. ""The audio encoder and projector introduce 460M parameters while LoRAA consumes another 460M parameters.""
3. ""The image encoder and projector introduce 440M model parameters while the vision adapter LoRAV consumes another 370M model parameters.""",5.6,exact_epoch_parameter_match,2025-03-03,,2025-03-03,False
checkpoint:epoch:reka-flash-3,Reka Flash 3,2025-03-10,4.0,21.0,21.0,reka,1,exact_epoch_checkpoint,False,,checkpoint:epoch:reka-flash-3,Reka Flash 3,Open weights (unrestricted),sources/input_artificial_analysis_leaderboard_2026-07-17.txt,https://www.reka.ai/news/introducing-reka-flash,,21.0,exact_epoch_parameter_match,2025-03-10,,2025-03-10,False
checkpoint:epoch:cohere-command-a,Command A,2025-03-13,8.0,111.0,111.0,cohere,1,exact_epoch_checkpoint,False,,checkpoint:epoch:cohere-command-a,Cohere Command A,Open weights (non-commercial),sources/input_artificial_analysis_leaderboard_2026-07-17.txt,"https://cohere.com/blog/command-a
https://huggingface.co/CohereForAI/c4ai-command-a-03-2025?ref=cohere-ai.ghost.io","a 111 billion parameter model optimized for demanding enterprises that require fast, secure, and high-quality AI",111.0,exact_epoch_parameter_match,2026-05-20,,2026-05-20,True
checkpoint:epoch:llama-nemotron-ultra-253b,Llama Nemotron Ultra,2025-03-18,9.0,253.0,253.0,nvidia,1,exact_epoch_checkpoint,False,,checkpoint:epoch:llama-nemotron-ultra-253b,Llama Nemotron Ultra 253B,Open weights (restricted use),sources/input_artificial_analysis_leaderboard_2026-07-17.txt,https://arxiv.org/abs/2505.00949,"253B
""Dense decoder-only Transformer model Network Architecture: Llama-3.1-405B-Instruct, customized through Neural Architecture Search (NAS)

**This model was developed based on Llama-3.1-405B-Instruct
** This model has 253B model parameters.""",253.0,exact_epoch_parameter_match,2025-03-18,,2025-03-18,False
checkpoint:epoch:deephermes-3-mistral-24b,DeepHermes 3 - Mistral 24B,2025-03-29,5.0,24.0,24.0,nous,1,exact_epoch_checkpoint,False,,checkpoint:epoch:deephermes-3-mistral-24b,DeepHermes 3 - Mistral 24B,Open weights (unrestricted),sources/input_artificial_analysis_leaderboard_2026-07-17.txt,https://huggingface.co/NousResearch/DeepHermes-3-Mistral-24B-Preview,24B,24.0,exact_epoch_parameter_match,2025-03-29,,2025-03-29,False
checkpoint:meta:llama-4-maverick,Llama 4 Maverick,2025-04-05,14.0,400.0,400.0,meta,0,exact_epoch_checkpoint,False,,checkpoint:meta:llama-4-maverick,Llama 4 Maverick,Open weights (restricted use),sources/input_artificial_analysis_leaderboard_2026-07-17.txt,https://ai.meta.com/blog/llama-4-multimodal-intelligence/,"""Llama 4 Maverick models have 17B active parameters and 400B total parameters.""

https://ai.meta.com/blog/llama-4-multimodal-intelligence/",400.0,exact_epoch_parameter_match,2025-04-05,,2025-04-05,False
checkpoint:meta:llama-4-scout,Llama 4 Scout,2025-04-05,10.0,109.0,109.0,meta,0,exact_epoch_checkpoint,False,,checkpoint:meta:llama-4-scout,Llama 4 Scout,Open weights (restricted use),sources/input_artificial_analysis_leaderboard_2026-07-17.txt,https://ai.meta.com/blog/llama-4-multimodal-intelligence/,"""Our smaller model, Llama 4 Scout, is a general purpose model with 17 billion active parameters, 16 experts, and 109 billion total parameters that delivers state-of-the-art performance for its class.""",109.0,exact_epoch_parameter_match,2025-04-05,,2025-04-05,False
checkpoint:epoch:ernie-4-5-300b-a47b,ERNIE 4.5 300B A47B,2025-06-29,9.0,300.0,300.0,baidu,1,exact_epoch_checkpoint,False,,checkpoint:epoch:ernie-4-5-300b-a47b,ERNIE-4.5-300B-A47B,Open weights (unrestricted),sources/input_artificial_analysis_leaderboard_2026-07-17.txt,https://yiyan.baidu.com/blog/publication/ERNIE_Technical_Report.pdf,"MoE
total parameters: 300B
active parameters: 47B",300.0,exact_epoch_parameter_match,2025-06-29,,2025-06-29,False
checkpoint:epoch:exaone-4-0-32b,EXAONE 4.0 32B,2025-07-15,11.0,32.0,32.0,lg,1,exact_epoch_checkpoint,False,,checkpoint:epoch:exaone-4-0-32b,EXAONE 4.0 (32B),Open weights (non-commercial),sources/input_artificial_analysis_leaderboard_2026-07-17.txt,https://arxiv.org/abs/2507.11407,32B,32.0,exact_epoch_parameter_match,2025-07-15,,2025-07-15,False
