comparison,release_date,model,prediction_information_date,baseline_eligible,corrected_eligible,baseline_predicted_b,corrected_predicted_b,actual_b,baseline_log10_error,corrected_log10_error,absolute_log10_error_change
AA,2025-12-15,Nemotron 3 Nano 30B A3B Reasoning,2025-12-15,True,True,194.69020613919378,194.69020613919378,31.6,0.7896570223341564,0.7896570223341564,0.0
AA,2025-12-16,MiMo-V2-Flash Reasoning,2025-12-16,True,True,839.5993682509024,839.5993682509024,309.0,0.43411362370462037,0.43411362370462037,0.0
AA,2025-12-22,GLM-4.7 Reasoning,2025-12-27,False,True,,709.6689124318841,358.0,,0.2971727544128293,
AA,2025-12-23,MiniMax-M2.1,2025-12-23,True,True,573.211147900591,627.5611752868404,230.0,0.39658679201726077,0.43592823165662953,0.03934143963936876
AA,2025-12-31,K-EXAONE,2026-01-08,True,True,196.5695003197419,196.5695003197419,236.0,-0.07939586928270703,-0.07939586928270703,0.0
AA,2026-01-27,Kimi K2.5 Reasoning,2026-01-27,True,True,740.1901350363972,740.1901350363972,1040.0,-0.1476900466075155,-0.1476900466075155,0.0
AA,2026-01-28,LongCat Flash Lite,2026-01-28,True,True,129.897825647809,129.89782564780887,68.5,0.27791131001122893,0.2779113100112285,-4.440892098500626e-16
AA,2026-02-11,GLM-5 Reasoning,2026-02-11,True,True,1420.2968513885826,1420.2968513885826,744.0,0.2808061887290143,0.2808061887290143,0.0
AA,2026-02-12,MiniMax-M2.5,2026-02-12,True,True,745.0640459948384,745.0640459948384,228.703644928,0.5129205203141072,0.5129205203141072,0.0
AA,2026-02-16,Qwen3.5-397B-A17B Reasoning,2026-02-17,True,True,653.9825289742425,653.9825289742425,397.0,0.21677563961707103,0.21677563961707103,0.0
AA,2026-02-24,Qwen3.5-122B-A10B Reasoning,2026-02-25,True,True,569.0048539054807,569.0048539054807,125.0,0.6582059581592024,0.6582059581592024,0.0
AA,2026-02-24,Qwen3.5-27B Reasoning,2026-02-24,True,True,666.6952846469917,666.6952846469917,27.8,1.379882587572519,1.379882587572519,0.0
AA,2026-02-24,Qwen3.5-35B-A3B Reasoning,2026-02-24,True,True,413.36214846677666,413.36214846677666,36.0,1.0600282050396252,1.0600282050396252,0.0
AA,2026-03-02,Qwen3.5-0.8B Reasoning,2026-03-04,True,True,33.52919681846597,33.52919681846597,0.873,1.5844089064579336,1.5844089064579336,0.0
