benchmark,coverage_models,heldout_predictions,heldout_families,baseline_active_median_error_x,augmented_active_median_error_x,active_equal_family_mae_delta,active_delta_ci_90_low,active_delta_ci_90_high,active_unadjusted_probability_better,active_studentized_statistic,baseline_total_median_error_x,augmented_total_median_error_x,total_equal_family_mae_delta,total_delta_ci_90_low,total_delta_ci_90_high,total_unadjusted_probability_better,total_studentized_statistic,active_familywise_one_sided_p,total_familywise_one_sided_p
OTIS Mock AIME 2024-2025,35,23,11,2.1386314099365498,1.7473922450840513,-0.038709879306992344,-0.07494541236078374,-0.0012683033090316671,0.9553,-1.6262345453132399,2.4443278614772788,2.129406718252324,-0.02148829032384144,-0.05017057484413077,0.009002285322095243,0.87865,-1.1270471373071118,0.5957240427595724,0.8808811911880882
GSM8K,37,21,12,1.7476042516059442,1.5077963667380063,-0.04330377417075936,-0.12642673196477466,0.031173649332582667,0.8075,-0.8598446299019047,1.812000886704975,1.7382760547379157,-0.02777356272909456,-0.11246211009364647,0.048052682573981896,0.6905,-0.5408790171412956,0.958020419795802,0.996230037699623
TriviaQA,24,12,8,1.7715525233012166,1.6527527299247313,-0.05979110083610552,-0.18862620552771445,0.05071041169031276,0.787,-0.7776705836191901,2.378171144962891,1.6064567898859647,-0.13866834869126662,-0.26737212443143016,-0.01835430053161964,0.9719,-1.7191624096835139,0.9712902870971291,0.5252347476525234
GPQA diamond,42,28,14,1.8298587612626764,1.6021396193362292,-0.009362189671771635,-0.031712152228582036,0.011850246804863471,0.751,-0.6846982895354281,1.951415329461801,1.9664919183703686,0.0036189207424963507,-0.012045222412513523,0.020583015731325705,0.36965,0.3532052099119497,0.9821301786982131,1.0
ARC AI2,44,29,16,1.8143189061369571,2.0259153412034165,0.043670897727887126,-0.01049227221269384,0.10947667732278243,0.11045,1.1345625036305633,2.6687051069783347,2.644718628100289,0.04910571845768297,-0.005997987403263185,0.11464540968301953,0.0783,1.2690825505461674,1.0,1.0
BBH,30,15,9,1.680170354267604,2.0393479060765847,0.03937968150299519,0.0023194026040564975,0.07899869987537497,0.0398,1.5814970852012393,1.9897612573685723,2.0393479060765847,0.03937968150299623,0.0023194026040571883,0.07899869987537578,0.0398,1.581497085201263,1.0,1.0
HellaSwag,35,21,13,1.7852097149799007,1.8060774258193133,0.0006590652412792042,-0.06066163213121355,0.06625407187390688,0.50525,0.016423553570374803,2.2149069510243202,1.8630243848173593,-0.019100264867459825,-0.0766560392427426,0.045163720760999046,0.71,-0.49053181734816875,1.0,0.997580024199758
MATH level 5,29,15,10,1.4924679367918523,1.6721216068937832,0.015115126506675746,-0.022182280153834746,0.05564997876310014,0.2776,0.6035823044541292,1.851459197105773,1.6721384635539371,0.03466240204876438,-0.02565208905416747,0.12126953356417165,0.2781,0.7288335313266598,1.0,1.0
MMLU,58,46,23,2.2053989438032855,2.080331398319573,0.006422067787830354,-0.013238521220272732,0.029116946256327592,0.33135,0.4848005800563691,2.60734899070094,2.420538865362857,0.00203948454082822,-0.018212299202046933,0.025280863288244595,0.46825,0.14932211695792047,1.0,1.0
OpenBookQA,24,10,6,2.1341302406240095,1.8036699630477568,0.0024040348632075235,-0.09703574745382576,0.09203497797916826,0.4622,0.03836282979229729,2.5895618074194253,1.8036699630477477,0.002404034863207616,-0.09703574745382597,0.09203497797916856,0.4622,0.038362829792298686,1.0,1.0
PIQA,31,19,13,1.7144343826752224,1.6630803106546705,0.011187668520188283,-0.001997470560983986,0.025231668550138444,0.08485,1.2965235200103347,1.7144343826752224,1.6630803106546705,0.007429684043203313,-0.003790134348061374,0.019638482036135236,0.15055,1.0013293862438541,1.0,1.0
WeirdML,27,15,9,2.170683233590809,2.0728418662985635,0.01320829391301142,-0.03889914912435235,0.06773149318632557,0.3519,0.3856703179987901,3.01757009218097,2.688578786218589,0.0160652302866265,-0.04845589317740258,0.0817665665602357,0.34475,0.38244564236794504,1.0,1.0
Winogrande,41,27,15,2.8766014873914587,2.6411023399354687,0.045037507638043345,-0.002645793351804754,0.09543108882653331,0.05965,1.4635453709754258,3.4765502357686184,3.02739400712961,0.0364020355070108,-0.01252873394764193,0.08919759044344429,0.11525,1.1377459189515757,1.0,1.0
