model,canonical_checkpoint_id,release_date,total_parameters_b,family,eci_score,eci_ci_low,eci_ci_high,eci_ci_width,wls_weight,legacy_workbook_wls_weight,panel_source,parameter_value_source,matched_epoch_model,epoch_match_method,epoch_match_confidence,epoch_accessibility,epoch_parameter_notes,source_url
LLaMA-13B,checkpoint:meta:llama-13b,2023-02-24,13.0,llama1,100.2401284462544,89.73289686635674,106.66586561048385,16.93296874412711,0.05359273495121018,0.052674012362268215,legacy_workbook_parameter_row,ECI Regression Data,LLaMA-13B,alphanumeric exact,high,Open weights (non-commercial),13.0B,https://arxiv.org/abs/2302.13971
LLaMA-33B,checkpoint:meta:llama-33b,2023-02-24,32.5,llama1,107.1116301329726,98.4347003480681,112.10752995033204,13.672829602263931,0.08219687964281251,0.06040192215092222,legacy_workbook_parameter_row,ECI Regression Data,LLaMA-33B,alphanumeric exact,high,Open weights (non-commercial),Table 2 in the paper,https://arxiv.org/abs/2302.13971
LLaMA-65B,checkpoint:meta:llama-65b,2023-02-24,65.2,llama1,109.8862456369298,100.56776794934638,114.73585059081456,14.168082641468189,0.07655084187269384,0.07941780398897905,legacy_workbook_parameter_row,ECI Regression Data,LLaMA-65B,alphanumeric exact,high,Open weights (non-commercial),"Model card, table 1: https://github.com/facebookresearch/llama/blob/53011c3d7946dadb8274a4c5c7586ab54edf792d/MODEL_CARD.md",https://arxiv.org/abs/2302.13971
LLaMA-7B,checkpoint:meta:llama-7b,2023-02-24,6.7,llama1,96.3343029891235,84.62406716738721,104.20643179169014,19.582364624302926,0.04007207839101867,,exact_epoch_open_extension,matched Epoch Parameters,LLaMA-7B,alphanumeric exact,high,Open weights (non-commercial),"6.7B parameters, per table 2: https://arxiv.org/pdf/2302.13971.pdf",https://arxiv.org/abs/2302.13971
Falcon-40B,checkpoint:technology-innovation-institute:falcon-40b,2023-03-15,40.0,falcon1,104.1386777893516,95.18929188388987,110.24620147945896,15.056909595569095,0.06777982580933954,0.0632236993418175,legacy_workbook_parameter_row,ECI Regression Data,Falcon-40B,alphanumeric exact,high,Open weights (unrestricted),Model comes in 7B and 40B variants.,https://arxiv.org/abs/2311.16867; https://www.tii.ae/news/abu-dhabi-based-technology-innovation-institute-introduces-falcon-llm-foundational-large
Cerebras-GPT-13B,checkpoint:cerebras-systems:cerebras-gpt-13b,2023-03-20,13.0,cerebras_gpt,82.84477110318656,65.70269617190318,92.77666735986087,27.07397118795768,0.020963713183266258,0.023138931315181965,legacy_workbook_parameter_row,ECI Regression Data,Cerebras-GPT-13B,alphanumeric exact,high,Open weights (unrestricted),13 billion,https://arxiv.org/abs/2304.03208
Dolly 2.0-12b,checkpoint:databricks:dolly-2-0-12b,2023-04-11,12.0,dolly,89.28234185961776,75.50278883636841,97.69091987464193,22.188131038273525,0.031212653409669545,0.02661120817732169,legacy_workbook_parameter_row,ECI Regression Data,Dolly 2.0-12b,alphanumeric exact,high,Open weights (unrestricted),,https://www.databricks.com/blog/2023/04/12/dolly-first-open-commercially-viable-instruction-tuned-llm
Falcon-7B,checkpoint:technology-innovation-institute:falcon-7b,2023-04-24,7.0,falcon1,94.7293350810267,81.62488503145612,103.002440600522,21.377555569065876,0.03362451633270172,,exact_epoch_open_extension,matched Epoch Parameters,Falcon-7B,alphanumeric exact,high,Open weights (unrestricted),7B,https://huggingface.co/tiiuae/falcon-7b
RedPajama-INCITE-7B-Base,checkpoint:together:redpajama-incite-7b-base,2023-05-04,6.9,redpajama,90.03816152868521,74.21867940889514,98.94366164904388,24.724982240148734,0.025136230916624095,,exact_epoch_open_extension,matched Epoch Parameters,RedPajama-INCITE-7B-Base,alphanumeric exact,high,Open weights (unrestricted),6.9b,https://huggingface.co/togethercomputer/RedPajama-INCITE-7B-Base
MPT-7B,checkpoint:mosaicml:mpt-7b,2023-05-05,7.0,mpt,94.22240941795621,82.16496031767552,102.10930999805518,19.94434968037966,0.03863068188540202,,exact_epoch_open_extension,matched Epoch Parameters,MPT-7B,alphanumeric exact,high,Open weights (unrestricted),,https://www.mosaicml.com/blog/mpt-7b
Baichuan1-7B,checkpoint:baichuan:baichuan1-7b,2023-06-01,7.000559616,baichuan,90.05064109676277,77.0023606384949,99.57854951927881,22.576188880783903,0.030148858554055823,,exact_epoch_open_extension,matched Epoch Parameters,Baichuan1-7B,alphanumeric exact,high,Open weights (non-commercial),,https://huggingface.co/baichuan-inc/Baichuan-7B
MPT-30B,checkpoint:mosaicml:mpt-30b,2023-06-22,30.0,mpt,100.31730605293477,91.01764771516932,106.51599201410104,15.498344298931727,0.06397370816262753,0.05069610478901754,legacy_workbook_parameter_row,ECI Regression Data,MPT-30B,alphanumeric exact,high,Open weights (unrestricted),30B,https://huggingface.co/mosaicml/mpt-30b
XGen-7B,checkpoint:salesforce:xgen-7b,2023-06-27,6.7,xgen,93.03272600739643,80.61415415806515,100.88648105899641,20.27232690093126,0.03739081508199037,,exact_epoch_open_extension,matched Epoch Parameters,XGen-7B,alphanumeric exact,high,Open weights (unrestricted),"I think this suggests the same number of params as Llama-7b. In any case ~7B. 
""The model architecture follows LLaMA with exact numerical compatibility to ease adoption in third-party frameworks. The hyperparameters closely follow LLaMA-7B [34] with the following alterations""",https://arxiv.org/abs/2309.03450
Llama 2-13B,checkpoint:meta:llama-2-13b,2023-07-18,13.0,llama2,105.85989594192868,95.7933109213507,111.14782704430122,15.354516122950528,0.06517782509213345,0.060326254232071344,legacy_workbook_parameter_row,ECI Regression Data,Llama 2-13B,alphanumeric exact,high,Open weights (restricted use),"Llama has been released in 7B, 13B, and 70B variants.","https://ai.meta.com/research/publications/llama-2-open-foundation-and-fine-tuned-chat-models/
https://arxiv.org/abs/2307.09288"
Llama 2-70B,checkpoint:meta:llama-2-70b,2023-07-18,70.0,llama2,113.68664636418171,105.73132041647838,117.82260654219807,12.09128612571969,0.1051059101671508,0.081276826446281,legacy_workbook_parameter_row,ECI Regression Data,Llama 2-70B,alphanumeric exact,high,Open weights (restricted use),"Llama has been released in 7B, 13B, 34B, and 70B variants.","https://ai.meta.com/research/publications/llama-2-open-foundation-and-fine-tuned-chat-models/
https://arxiv.org/abs/2307.09288"
Llama 2-7B,checkpoint:meta:llama-2-7b,2023-07-18,7.0,llama2,98.71396197475738,87.1233172288448,105.64707199035318,18.523754761508386,0.044783093342394005,,exact_epoch_open_extension,matched Epoch Parameters,Llama 2-7B,alphanumeric exact,high,Open weights (restricted use),"Llama has been released in 7B, 13B, and 70B variants.",https://ai.meta.com/research/publications/llama-2-open-foundation-and-fine-tuned-chat-models/
Stable Beluga 2,checkpoint:stability-ai:stable-beluga-2,2023-07-20,70.0,llama2,116.87605620698525,108.39345036700998,120.28553572881775,11.892085361807773,0.10865659672102175,0.1015691717892789,legacy_workbook_parameter_row,ECI Regression Data,Stable Beluga 2,alphanumeric exact,high,Open weights (non-commercial),fine-tuned from Llama 2-70B,"https://stability.ai/news/stable-beluga-large-instruction-fine-tuned-models, https://huggingface.co/stabilityai/StableBeluga2"
Baichuan2-13B,checkpoint:baichuan:baichuan2-13b,2023-09-06,13.0,baichuan,102.87105969716373,90.55612786419277,110.36488244729946,19.80875458310669,0.03916136230764993,0.034944213740409416,legacy_workbook_parameter_row,ECI Regression Data,Baichuan2-13B,alphanumeric exact,high,Open weights (restricted use),,"https://huggingface.co/baichuan-inc/Baichuan2-13B-Base, https://arxiv.org/abs/2309.10305"
Falcon-180B,checkpoint:technology-innovation-institute:falcon-180b,2023-09-06,180.0,falcon1,111.88312131168932,102.97882505544831,119.55106802970087,16.57224297425256,0.05595121861243918,0.05069610478901754,legacy_workbook_parameter_row,ECI Regression Data,Falcon-180B,alphanumeric exact,high,Open weights (restricted use),"""Falcon 180B is a super-powerful language model with 180 billion parameters""",https://falconllm.tii.ae/falcon-180b.html; https://arxiv.org/abs/2311.16867
Phi-1.5,checkpoint:microsoft:phi-1-5,2023-09-11,1.3,phi,91.17961987907428,69.4503211197165,101.6266335271077,32.176312407391194,0.014842244930839053,,exact_epoch_open_extension,matched Epoch Parameters,Phi-1.5,alphanumeric exact,high,Open weights (unrestricted),,"https://arxiv.org/abs/2309.05463, https://huggingface.co/microsoft/phi-1_5"
Baichuan 2-7B,checkpoint:baichuan:baichuan-2-7b,2023-09-20,7.0,baichuan,95.96189353441596,84.14630923154297,104.8106996879142,20.664390456371223,0.03598544979445317,,exact_epoch_open_extension,matched Epoch Parameters,Baichuan 2-7B,alphanumeric exact,high,Open weights (restricted use),,https://arxiv.org/pdf/2309.10305
Qwen-14B,checkpoint:alibaba:qwen-14b,2023-09-28,14.0,qwen1,112.7606773085536,103.7094454499347,117.76492929811012,14.055483848175413,0.07778225562503771,0.07674661938593308,legacy_workbook_parameter_row,ECI Regression Data,Qwen-14B,alphanumeric exact,high,Open weights (restricted use),14B,https://arxiv.org/abs/2309.16609
Qwen-7B,checkpoint:alibaba:qwen-7b,2023-09-28,7.0,qwen1,106.50900115407401,95.64802578548093,112.23589650800673,16.587870722525807,0.05584584286117822,,exact_epoch_open_extension,matched Epoch Parameters,Qwen-7B,alphanumeric exact,high,Open weights (restricted use),7B,"https://arxiv.org/abs/2309.16609, https://huggingface.co/Qwen/Qwen-7B"
DeepSeek Coder 1.3B,checkpoint:deepseek:deepseek-coder-1-3b,2023-11-02,1.3,deepseek_coder,63.842557958792696,46.61060571289867,78.30713221801673,31.696526505118065,0.015294975637637948,,exact_epoch_open_extension,matched Epoch Parameters,DeepSeek Coder 1.3B,alphanumeric exact,high,Open weights (restricted use),1.3B,https://arxiv.org/abs/2401.14196
DeepSeek Coder 33B,checkpoint:deepseek:deepseek-coder-33b,2023-11-02,33.0,deepseek_coder,95.95210044828897,83.97031246990669,103.95122505523496,19.98091258532827,0.038489431316523326,0.03422238089012845,legacy_workbook_parameter_row,ECI Regression Data,DeepSeek Coder 33B,alphanumeric exact,high,Open weights (restricted use),33B,https://arxiv.org/abs/2401.14196
DeepSeek Coder 6.7B,checkpoint:deepseek:deepseek-coder-6-7b,2023-11-02,6.7,deepseek_coder,89.23175953631225,74.23780076264671,98.79725813330367,24.559457370656958,0.025476197084761426,,exact_epoch_open_extension,matched Epoch Parameters,DeepSeek Coder 6.7B,alphanumeric exact,high,Open weights (restricted use),6.7B,https://arxiv.org/abs/2401.14196
Yi 6B,checkpoint:01-ai:yi-6b,2023-11-02,6.0,yi,104.45543195386576,94.43453228956413,110.37988071454942,15.945348424985283,0.060437168173251815,,exact_epoch_open_extension,matched Epoch Parameters,Yi 6B,alphanumeric exact,high,Open weights (restricted use),6B,https://arxiv.org/abs/2403.04652
Yi-34B,checkpoint:01-ai:yi-34b,2023-11-22,34.0,yi,117.11564212849632,108.13064147217685,120.51492413032993,12.384282658153083,0.10019139477627757,0.11558820498432006,legacy_workbook_parameter_row,ECI Regression Data,Yi-34B,alphanumeric exact,high,Open weights (restricted use),34b,https://arxiv.org/abs/2403.04652
Mixtral 8x7B,checkpoint:mistral:mixtral-8x7b,2023-12-11,46.7,mixtral,118.10161964269129,110.53983905150925,120.75793954452072,10.218100493011477,0.14717423765776041,0.11782567223140644,legacy_workbook_parameter_row,ECI Regression Data,Mixtral 8x7B,alphanumeric exact,high,Open weights (unrestricted),"46.7B *sparse* params. 12.9B params used on average:

""Concretely, Mixtral has 46.7B total parameters but only uses 12.9B parameters per token. It, therefore, processes input and generates output at the same speed and for the same cost as a 12.9B model.""","https://mistral.ai/news/mixtral-of-experts/, https://arxiv.org/abs/2401.04088"
Phi-2,checkpoint:microsoft:phi-2,2023-12-12,2.7,phi,107.6140774922046,86.97959743921307,113.80514033827639,26.825542899063322,0.021353796222096096,,exact_epoch_open_extension,matched Epoch Parameters,Phi-2,alphanumeric exact,high,Open weights (unrestricted),2.7B,"https://www.microsoft.com/en-us/research/blog/phi-2-the-surprising-power-of-small-language-models/
https://huggingface.co/microsoft/phi-2 "
StarCoder 2 15B,checkpoint:hugging-face-servicenow-nvidia-bigcode:starcoder-2-15b,2024-02-20,15.0,starcoder2,104.68028071454012,93.53133842243598,112.01357694502926,18.482238522593278,0.04498450982868419,0.039474620504021764,legacy_workbook_parameter_row,ECI Regression Data,StarCoder 2 15B,alphanumeric exact,high,Open weights (restricted use),15B,https://arxiv.org/abs/2402.19173
StarCoder 2 7B,checkpoint:hugging-face-servicenow-nvidia-bigcode:starcoder-2-7b,2024-02-20,7.0,starcoder2,93.17472629935702,78.56652336437163,101.8990676886847,23.332544324313062,0.028225908867442886,,exact_epoch_open_extension,matched Epoch Parameters,StarCoder 2 7B,alphanumeric exact,high,Open weights (restricted use),7B,https://arxiv.org/abs/2402.19173
Gemma 2B,checkpoint:google:gemma-2b,2024-02-21,2.50643456,gemma,93.83138498553235,80.70091178952191,101.2778248535475,20.57691306402559,0.0362920657156856,,exact_epoch_open_extension,matched Epoch Parameters,Gemma 2B,alphanumeric exact,high,Open weights (restricted use),"Table 2, sum of embedding and non-embedding parameters:

2B 524,550,144 + 1,981,884,416 = 2506434560",https://storage.googleapis.com/deepmind-media/gemma/gemma-report.pdf
Gemma 7B,checkpoint:google:gemma-7b,2024-02-21,8.538074112,gemma,111.72110932107978,102.72888077075811,116.49326404722166,13.764383276463548,0.0811070525819309,,exact_epoch_open_extension,matched Epoch Parameters,Gemma 7B,alphanumeric exact,high,Open weights (restricted use),"Table 2, sum of embedding and non-embedding parameters",https://storage.googleapis.com/deepmind-media/gemma/gemma-report.pdf
StarCoder 2 3B,checkpoint:hugging-face-servicenow-nvidia-bigcode:starcoder-2-3b,2024-02-22,3.0,starcoder2,88.37871348329779,74.64642396101544,99.095263346589,24.44883938557355,0.025707251066810856,,exact_epoch_open_extension,matched Epoch Parameters,StarCoder 2 3B,alphanumeric exact,high,Open weights (restricted use),3B,https://arxiv.org/abs/2402.19173
Mixtral 8x22B,checkpoint:mistral:mixtral-8x22b,2024-04-17,141.0,mixtral,121.26314076534346,111.89956385959566,123.50362080296468,11.604056943369017,0.11411754796521079,0.1288625904010519,legacy_workbook_parameter_row,ECI Regression Data,Mixtral 8x22B,alphanumeric exact,high,Open weights (unrestricted),"141B params, 39B active: https://mistral.ai/news/mixtral-8x22b/ ",https://mistral.ai/news/mixtral-8x22b/
Llama 3-70B,checkpoint:meta:llama-3-70b,2024-04-18,70.0,llama3,122.59413436473096,116.79753182562642,125.5791574103376,8.781625584711179,0.19926099795757918,0.1623104394182499,legacy_workbook_parameter_row,ECI Regression Data,Llama 3-70B,alphanumeric exact,high,Open weights (restricted use),,https://ai.meta.com/blog/meta-llama-3/
Llama 3-8B,checkpoint:meta:llama-3-8b,2024-04-18,8.0,llama3,116.39934602891651,108.08100677833949,119.4203436685679,11.33933689022841,0.11950795569201775,,exact_epoch_open_extension,matched Epoch Parameters,Llama 3-8B,alphanumeric exact,high,Open weights (restricted use),,https://ai.meta.com/blog/meta-llama-3/
phi-3-medium 14B,checkpoint:microsoft:phi-3-medium-14b,2024-04-23,14.0,phi,121.04926397625975,114.64359607515797,124.16794890178096,9.524352826622987,0.1693952325383815,0.15583809729536788,legacy_workbook_parameter_row,ECI Regression Data,phi-3-medium 14B,alphanumeric exact,high,Open weights (unrestricted),14B,https://arxiv.org/abs/2404.14219
phi-3-mini 3.8B,checkpoint:microsoft:phi-3-mini-3-8b,2024-04-23,3.8,phi,117.11012005890667,108.51997090917726,120.82016674372478,12.300195834547523,0.10156593759777098,,exact_epoch_open_extension,matched Epoch Parameters,phi-3-mini 3.8B,alphanumeric exact,high,Open weights (unrestricted),3.8B,https://arxiv.org/abs/2404.14219
phi-3-small 7.4B,checkpoint:microsoft:phi-3-small-7-4b,2024-04-23,7.4,phi,121.61556881872517,114.33668411194475,124.33747586725981,10.000791755315063,0.1536396700317986,,exact_epoch_open_extension,matched Epoch Parameters,phi-3-small 7.4B,alphanumeric exact,high,Open weights (unrestricted),7.4B,https://arxiv.org/abs/2404.14219
Falcon 2 11B,checkpoint:technology-innovation-institute:falcon-2-11b,2024-05-09,11.0,falcon2,109.25902840434983,100.54668198250396,115.04354591110288,14.496863928598927,0.07311795039795653,0.059281663516067985,legacy_workbook_parameter_row,ECI Regression Data,Falcon 2 11B,alphanumeric exact,high,Open weights (restricted use),11B,https://huggingface.co/tiiuae/falcon-11B 
Qwen2-72B,checkpoint:alibaba:qwen2-72b,2024-06-07,72.71,qwen2,125.47780176599886,119.22364159415108,126.95814831532972,7.734506721178647,0.25686615902179566,0.24497500255075996,legacy_workbook_parameter_row,ECI Regression Data,Qwen2-72B,alphanumeric exact,high,Open weights (unrestricted),"72.71B parameters in total, of which 70.21B are non-embedding parameters","https://qwenlm.github.io/blog/qwen2/ 
https://arxiv.org/abs/2407.10671 "
Gemma 2 27B,checkpoint:google:gemma-2-27b,2024-06-24,27.0,gemma2,122.45134578287711,115.35179626176959,124.34630407704628,8.994507815276691,0.18994039073385535,0.18194541306075,legacy_workbook_parameter_row,ECI Regression Data,Gemma 2 27B,alphanumeric exact,high,Open weights (restricted use),,https://storage.googleapis.com/deepmind-media/gemma/gemma-2-report.pdf
Gemma 2 9B,checkpoint:google:gemma-2-9b,2024-06-24,9.0,gemma2,119.55429530149902,111.90270208531497,122.61393454702171,10.711232461706743,0.13393474173238037,,exact_epoch_open_extension,matched Epoch Parameters,Gemma 2 9B,alphanumeric exact,high,Open weights (restricted use),,https://storage.googleapis.com/deepmind-media/gemma/gemma-2-report.pdf
Mistral NeMo,checkpoint:mistral:mistral-nemo,2024-07-18,12.0,mistral_nemo,118.35694610610405,110.4048459473091,121.69994062217229,11.295094674863194,0.12044600037066207,0.10832996705630864,legacy_workbook_parameter_row,ECI Regression Data,Mistral NeMo,alphanumeric exact,high,Open weights (unrestricted),12b,https://mistral.ai/news/mistral-nemo/
Llama 3.1-405B,checkpoint:meta:llama-3-1-405b,2024-07-23,405.0,llama31,128.98892585109627,123.64766705956036,130.84049582283313,7.192828763272772,0.29701110760007987,0.30142252979623335,legacy_workbook_parameter_row,ECI Regression Data,Llama 3.1-405B,alphanumeric exact,high,Open weights (restricted use),405B,https://ai.meta.com/research/publications/the-llama-3-herd-of-models/
Llama 3.1-70B,checkpoint:meta:llama-3-1-70b,2024-07-23,70.0,llama31,125.51517738096445,119.17814790168867,127.5404589220735,8.362311020384823,0.21974525269138945,0.20971263865839804,legacy_workbook_parameter_row,ECI Regression Data,Llama 3.1-70B,alphanumeric exact,high,Open weights (restricted use),70B,https://ai.meta.com/research/publications/the-llama-3-herd-of-models/
Llama 3.1-8B,checkpoint:meta:llama-3-1-8b,2024-07-23,8.0,llama31,115.41608049650111,104.08713171268155,121.57942684677951,17.492295134097958,0.05022021197923174,,exact_epoch_open_extension,matched Epoch Parameters,Llama 3.1-8B,alphanumeric exact,high,Open weights (restricted use),8B,https://ai.meta.com/research/publications/the-llama-3-herd-of-models/
Qwen2.5-Coder (1.5B),checkpoint:alibaba:qwen2-5-coder-1-5b,2024-09-18,1.54,qwen25_coder,102.65992847605801,87.57981683377221,110.62391159301531,23.044094759243094,0.02893695501987376,,exact_epoch_open_extension,matched Epoch Parameters,Qwen2.5-Coder (1.5B),alphanumeric exact,high,Open weights (unrestricted),Number of Parameters: 1.54B,https://arxiv.org/abs/2409.12186
Qwen2.5-Coder (7B),checkpoint:alibaba:qwen2-5-coder-7b,2024-09-18,7.61,qwen25_coder,112.87079846432134,101.74646661183954,118.98923128010287,17.242764668263334,0.051684263526680055,,exact_epoch_open_extension,matched Epoch Parameters,Qwen2.5-Coder (7B),alphanumeric exact,high,Open weights (unrestricted),Number of Parameters: 7.61B,https://arxiv.org/abs/2409.12186
Qwen2.5-Coder-32B,checkpoint:alibaba:qwen2-5-coder-32b,2024-09-18,32.5,qwen25_coder,119.24170142421758,109.51505866508454,124.80442744095443,15.289368775869889,0.06573444830057085,0.07179322817701064,legacy_workbook_parameter_row,ECI Regression Data,Qwen2.5-Coder (32B),alphanumeric exact,high,Open weights (unrestricted),32.5B (31B - non emb),https://arxiv.org/abs/2409.12186
Qwen2.5-72B,checkpoint:alibaba:qwen2-5-72b,2024-09-19,72.7,qwen25,129.11806442781972,122.65714212899388,130.95177826593178,8.294636136937896,0.22334562777095054,0.20255166804852393,legacy_workbook_parameter_row,ECI Regression Data,Qwen2.5-72B,alphanumeric exact,high,Open weights (unrestricted),72.7B,https://qwenlm.github.io/blog/qwen2.5/
Llama 3.2 90B,checkpoint:meta:llama-3-2-90b,2024-09-24,88.6,llama32,125.69535807484336,119.49841500865273,127.38000669654535,7.881591687892623,0.24736842832817454,0.23595276153974862,legacy_workbook_parameter_row,ECI Regression Data,Llama 3.2 90B,alphanumeric exact,high,Open weights (restricted use),https://huggingface.co/meta-llama/Llama-3.2-90B-Vision,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/
Llama 3.3 70B,checkpoint:meta:llama-3-3-70b,2024-12-06,70.0,llama33,127.47898204718517,122.59691962656385,129.8387595795274,7.241839952963545,0.2930044990641889,0.24872935402624824,legacy_workbook_parameter_row,ECI Regression Data,Llama 3.3 70B,alphanumeric exact,high,Open weights (restricted use),70B,https://www.llama.com/docs/model-cards-and-prompt-formats/llama3_3/
Phi-4,checkpoint:microsoft-research:phi-4,2024-12-12,14.0,phi,131.06819884114333,124.78469164412745,132.5318853108295,7.747193666702046,0.2560255504781572,0.20024603323533618,legacy_workbook_parameter_row,ECI Regression Data,Phi-4,alphanumeric exact,high,Open weights (unrestricted),"14B parameters, dense decoder-only Transformer model",https://arxiv.org/abs/2412.08905
DeepSeek-V3,checkpoint:deepseek:deepseek-v3,2024-12-26,671.0,deepseek_v3,132.99615911110604,128.72616067464938,136.18513075305842,7.458970078409038,0.27619410447212567,0.2487293540262491,legacy_workbook_parameter_row,ECI Regression Data,DeepSeek-V3,alphanumeric exact,high,Open weights (restricted use),Mixture-of-Experts (MoE) language model with 671B total parameters with 37B activated for each token.,https://arxiv.org/abs/2412.19437
