benchmark,coverage_models,same_size_family_groups,same_size_family_models,median_within_base_eci_range,p80_within_base_eci_range,mixed_reasoning_groups,median_reasoning_uplift_eci
ANLI,8,0,0,,,0,
APEX-Agents,10,2,5,9.839888883549193,11.46391691358499,0,
ARC AI2,44,1,2,5.820337672348728,5.820337672348728,0,
ARC-AGI,11,2,5,7.49518166302893,8.2045116511304,0,
ARC-AGI-2,11,2,5,4.354548848832934,4.732308055859335,0,
Aider polyglot,12,2,8,3.329575758012524,5.3273212128200385,2,1.0420651064562492
BBH,30,2,4,5.85132394243233,7.943637023867087,0,
Balrog,8,0,0,,,0,
CL-bench,7,2,4,2.0196989896383997,2.290981354266029,1,-1.5675617152590178
CL-bench Life,6,1,2,3.6869711296920116,3.6869711296920116,1,-3.6869711296920116
Chess Puzzles,12,2,6,7.4912425756383385,7.674521945316258,0,
CritPt,17,2,5,8.278773512772958,12.328169464170811,1,15.027766765102712
CursorBench,3,1,2,6.333661736675651,6.333661736675651,0,
Cybench,3,0,0,,,0,
DeepResearch Bench,1,0,0,,,0,
EBR-bench,2,0,0,,,0,
ExploitBench,2,0,0,,,0,
Fiction.LiveBench,14,3,9,10.710795480709152,11.811162241595515,3,6.269757852720488
FrontierCode,3,0,0,,,0,
FrontierMath-2025-02-28-Private,11,2,4,7.170033152429369,10.317564965209,1,12.415919507062085
FrontierMath-Tier-4-2025-07-01-Private,7,1,2,18.528918452088305,18.528918452088305,0,
FrontierMath-Tier-4-v2-Private,5,1,2,3.125261253863357,3.125261253863357,0,
FrontierMath-Tiers-1-3-v2-Private,5,1,2,0.7190357642317906,0.7190357642317906,0,
GBAEval,4,1,2,0.027422451234116352,0.027422451234116352,0,
GPQA diamond,42,7,19,4.776850727671302,11.672029758625047,2,3.886863201725248
GSM8K,37,2,4,5.500840401696358,8.801344642714174,0,
GSO-Bench,1,0,0,,,0,
GeoBench,4,0,0,,,0,
HLE,2,0,0,,,0,
HellaSwag,35,1,2,2.3693084138617166,2.3693084138617166,0,
LAMBADA,16,1,2,18.9361294818422,18.9361294818422,0,
Lech Mazur Writing,11,2,5,5.468625153873376,8.093329656861386,1,8.851293231027
MATH level 5,29,3,8,11.917009208444242,13.846567860877348,1,11.607175099976871
MMLU,58,3,6,6.397608464323142,8.446030092268913,0,
OSWorld,2,0,0,,,0,
OSWorld 2.0,1,0,0,,,0,
OTIS Mock AIME 2024-2025,35,5,15,7.332476254267476,9.901092609599154,2,8.577999855315355
OpenBookQA,24,0,0,,,0,
PIQA,31,1,2,2.0093337890508423,2.0093337890508423,0,
PostTrainBench,6,2,4,8.012590795214251,10.469181445384903,0,
SWE-Bench verified,5,2,4,3.5834156565998256,4.434196385338703,0,
ScienceQA,4,0,0,,,0,
SimpleBench,16,2,7,23.436744392186952,25.470087090803055,2,16.246493194674464
SimpleQA Verified,13,2,6,1.9962311083588702,3.158416479442508,0,
Surface Evolver Bench,7,0,0,,,0,
Terminal Bench,11,2,5,2.2999007528779174,3.334152973335921,1,3.0935225524433463
The Agent Company,5,0,0,,,0,
TriviaQA,24,0,0,,,0,
WeirdML,27,4,14,5.31258718488337,9.087413050327047,3,0.630093263218555
Winogrande,41,0,0,,,0,
