model,release_date,eci,candidate,weight_mode,same_base_collapsed,train_rows,train_families,training_max_eci,eci_extrapolation_points,predicted_b,legacy_57_b,candidate_over_legacy
Claude Fable 5,2026-06-09,160.72794930035383,linear_score,live_inverse_eci_ci,False,89,40,155.5939255295791,5.134023770774718,2950.324700318691,3154.860839423498,0.9351679362370282
GPT-5.6 Sol,2026-07-09,161.7210971187139,linear_score,live_inverse_eci_ci,False,89,40,155.5939255295791,6.127171589134804,3267.064353944743,3452.226795865823,0.9463643460091268
Claude Fable 5,2026-06-09,160.72794930035383,linear_score_date,live_inverse_eci_ci,False,89,40,155.5939255295791,5.134023770774718,3885.6670702625274,3154.860839423498,1.231644521909427
GPT-5.6 Sol,2026-07-09,161.7210971187139,linear_score_date,live_inverse_eci_ci,False,89,40,155.5939255295791,6.127171589134804,4222.589399575927,3452.226795865823,1.2231494769209958
Claude Fable 5,2026-06-09,160.72794930035383,live_60_40_blend,live_inverse_eci_ci,False,89,40,155.5939255295791,5.134023770774718,3293.88265933225,3154.860839423498,1.0440659119323172
GPT-5.6 Sol,2026-07-09,161.7210971187139,live_60_40_blend,live_inverse_eci_ci,False,89,40,155.5939255295791,6.127171589134804,3620.1465738357865,3452.226795865823,1.0486410041689769
Claude Fable 5,2026-06-09,160.72794930035383,linear_architecture,live_inverse_eci_ci,False,89,40,155.5939255295791,5.134023770774718,2489.563046171461,3154.860839423498,0.7891197656205939
GPT-5.6 Sol,2026-07-09,161.7210971187139,linear_architecture,live_inverse_eci_ci,False,89,40,155.5939255295791,6.127171589134804,2625.628049137334,3452.226795865823,0.7605607060004361
Claude Fable 5,2026-06-09,160.72794930035383,huber_score_date,live_inverse_eci_ci,False,89,40,155.5939255295791,5.134023770774718,4338.121396620322,3154.860839423498,1.37505950893639
GPT-5.6 Sol,2026-07-09,161.7210971187139,huber_score_date,live_inverse_eci_ci,False,89,40,155.5939255295791,6.127171589134804,4709.28089971654,3452.226795865823,1.3641284823338051
Claude Fable 5,2026-06-09,160.72794930035383,huber_architecture,live_inverse_eci_ci,False,89,40,155.5939255295791,5.134023770774718,2697.1518997563862,3154.860839423498,0.8549194519303264
GPT-5.6 Sol,2026-07-09,161.7210971187139,huber_architecture,live_inverse_eci_ci,False,89,40,155.5939255295791,6.127171589134804,2854.8259299029346,3452.226795865823,0.8269520221909235
Claude Fable 5,2026-06-09,160.72794930035383,quadratic_score,live_inverse_eci_ci,False,89,40,155.5939255295791,5.134023770774718,17628.459119116098,3154.860839423498,5.587713695269496
GPT-5.6 Sol,2026-07-09,161.7210971187139,quadratic_score,live_inverse_eci_ci,False,89,40,155.5939255295791,6.127171589134804,20838.166560355992,3452.226795865823,6.036152255497963
Claude Fable 5,2026-06-09,160.72794930035383,score_date_interaction,live_inverse_eci_ci,False,89,40,155.5939255295791,5.134023770774718,9197.508187417683,3154.860839423498,2.915345131070309
GPT-5.6 Sol,2026-07-09,161.7210971187139,score_date_interaction,live_inverse_eci_ci,False,89,40,155.5939255295791,6.127171589134804,10851.663000588687,3452.226795865823,3.1433806763750223
Claude Fable 5,2026-06-09,160.72794930035383,ridge_flexible,live_inverse_eci_ci,False,89,40,155.5939255295791,5.134023770774718,6722.410752264925,3154.860839423498,2.13081054741335
GPT-5.6 Sol,2026-07-09,161.7210971187139,ridge_flexible,live_inverse_eci_ci,False,89,40,155.5939255295791,6.127171589134804,7682.340251461314,3452.226795865823,2.2253289559831986
Claude Fable 5,2026-06-09,160.72794930035383,linear_tail_spline,live_inverse_eci_ci,False,89,40,155.5939255295791,5.134023770774718,9124.854431424763,3154.860839423498,2.8923159834499037
GPT-5.6 Sol,2026-07-09,161.7210971187139,linear_tail_spline,live_inverse_eci_ci,False,89,40,155.5939255295791,6.127171589134804,10001.98966397302,3452.226795865823,2.897257409609008
Claude Fable 5,2026-06-09,160.72794930035383,linear_score,live_inverse_eci_ci,True,70,40,155.5939255295791,5.134023770774718,2023.2250876786222,3154.860839423498,0.6413040671703083
GPT-5.6 Sol,2026-07-09,161.7210971187139,linear_score,live_inverse_eci_ci,True,70,40,155.5939255295791,6.127171589134804,2226.666556900069,3452.226795865823,0.644994285881388
Claude Fable 5,2026-06-09,160.72794930035383,linear_score_date,live_inverse_eci_ci,True,70,40,155.5939255295791,5.134023770774718,2346.24230165319,3154.860839423498,0.7436912184316598
GPT-5.6 Sol,2026-07-09,161.7210971187139,linear_score_date,live_inverse_eci_ci,True,70,40,155.5939255295791,6.127171589134804,2555.6718937322585,3452.226795865823,0.7402966389093485
Claude Fable 5,2026-06-09,160.72794930035383,live_60_40_blend,live_inverse_eci_ci,True,70,40,155.5939255295791,5.134023770774718,2146.7212988339347,3154.860839423498,0.6804488083937847
GPT-5.6 Sol,2026-07-09,161.7210971187139,live_60_40_blend,live_inverse_eci_ci,True,70,40,155.5939255295791,6.127171589134804,2352.8549290376154,3452.226795865823,0.6815470327312364
Claude Fable 5,2026-06-09,160.72794930035383,linear_architecture,live_inverse_eci_ci,True,70,40,155.5939255295791,5.134023770774718,1999.9101839149903,3154.860839423498,0.6339139143393858
GPT-5.6 Sol,2026-07-09,161.7210971187139,linear_architecture,live_inverse_eci_ci,True,70,40,155.5939255295791,6.127171589134804,2118.407430502686,3452.226795865823,0.6136350697003923
Claude Fable 5,2026-06-09,160.72794930035383,huber_score_date,live_inverse_eci_ci,True,70,40,155.5939255295791,5.134023770774718,2509.4013383491897,3154.860839423498,0.7954079327339661
GPT-5.6 Sol,2026-07-09,161.7210971187139,huber_score_date,live_inverse_eci_ci,True,70,40,155.5939255295791,6.127171589134804,2731.507775176037,3452.226795865823,0.7912306857843536
Claude Fable 5,2026-06-09,160.72794930035383,huber_architecture,live_inverse_eci_ci,True,70,40,155.5939255295791,5.134023770774718,2107.8394845261923,3154.860839423498,0.6681243933762122
GPT-5.6 Sol,2026-07-09,161.7210971187139,huber_architecture,live_inverse_eci_ci,True,70,40,155.5939255295791,6.127171589134804,2241.4358256058717,3452.226795865823,0.6492724719853513
Claude Fable 5,2026-06-09,160.72794930035383,quadratic_score,live_inverse_eci_ci,True,70,40,155.5939255295791,5.134023770774718,12008.573256938116,3154.860839423498,3.806371776173968
GPT-5.6 Sol,2026-07-09,161.7210971187139,quadratic_score,live_inverse_eci_ci,True,70,40,155.5939255295791,6.127171589134804,14228.309071532427,3452.226795865823,4.121487350880709
Claude Fable 5,2026-06-09,160.72794930035383,score_date_interaction,live_inverse_eci_ci,True,70,40,155.5939255295791,5.134023770774718,6233.136132192378,3154.860839423498,1.975724588007941
GPT-5.6 Sol,2026-07-09,161.7210971187139,score_date_interaction,live_inverse_eci_ci,True,70,40,155.5939255295791,6.127171589134804,7547.354297505868,3452.226795865823,2.1862278302642575
Claude Fable 5,2026-06-09,160.72794930035383,ridge_flexible,live_inverse_eci_ci,True,70,40,155.5939255295791,5.134023770774718,7341.318336382476,3154.860839423498,2.3269864219190057
