target_model,training_snapshot_timestamp,training_model,training_model_version,training_release_date,training_organization,training_total_b,gpqa_diamond,math_level_5,otis_mock_aime,component_index,equal_developer_weight,developer_exclusion_token,family_exclusion_token
Gemma 3 27B,20250305190317,DeepSeek-R1,DeepSeek-R1,2025-01-20,DeepSeek,671.0,0.7171717171717171,0.9305135951661632,0.5333333333333333,2.5248924011650646,1.4,Google,Gemma
Gemma 3 27B,20250305190317,DeepSeek-V3,DeepSeek-V3,2024-12-26,DeepSeek,671.0,0.5653409090909091,0.6485083081570997,0.1583333333333333,0.7553822487092243,1.4,Google,Gemma
Gemma 3 27B,20250305190317,Llama 2-70B,Llama-2-70b-chat-hf,2023-07-18,Meta AI,70.0,0.2632575757575757,0.0328549848942598,0.0,-1.3232699659535456,0.35,Google,Gemma
Gemma 3 27B,20250305190317,Llama 3-70B,Meta-Llama-3-70B-Instruct,2024-04-18,Meta AI,70.0,0.4056186868686868,0.225547583081571,0.0430555555555555,-0.5615668276418193,0.35,Google,Gemma
Gemma 3 27B,20250305190317,Llama 3-8B,Meta-Llama-3-8B-Instruct,2024-04-18,Meta AI,8.0,0.2607323232323232,0.0612726586102719,0.0083333333333333,-1.2687306317913956,0.35,Google,Gemma
Gemma 3 27B,20250305190317,Llama 3.1-405B,Llama-3.1-405B-Instruct,2024-07-23,Meta AI,405.0,0.5091540404040404,0.4977341389728096,0.0972222222222222,0.23622064546753538,0.35,Google,Gemma
Gemma 3 27B,20250305190317,Llama 3.1-70B,Llama-3.1-70B-Instruct,2024-07-23,Meta AI,70.0,0.4419191919191919,0.366786253776435,0.0361111111111111,-0.2847503139136766,0.35,Google,Gemma
Gemma 3 27B,20250305190317,Llama 3.1-8B,Llama-3.1-8B-Instruct,2024-07-23,Meta AI,8.0,0.2594696969696969,0.2287575528700906,0.025,-0.9946764343925586,0.35,Google,Gemma
Gemma 3 27B,20250305190317,Llama 3.2 90B,Llama-3.2-90B-Vision-Instruct,2024-09-24,Meta AI,88.6,0.4103535353535353,0.3943542296072507,0.0263888888888888,-0.35572713936294403,0.35,Google,Gemma
Gemma 3 27B,20250305190317,Llama 3.3,Llama-3.3-70B-Instruct,2024-12-06,Meta AI,70.0,0.4744318181818182,0.4159743202416918,0.0513888888888888,-0.08947677221515937,0.35,Google,Gemma
Gemma 3 27B,20250305190317,Mistral Large 2,mistral-large-2411,2024-11-18,Mistral AI,123.0,0.5132575757575758,0.5028323262839879,0.0777777777777777,0.20410271541109115,2.8,Google,Gemma
Gemma 3 27B,20250305190317,Phi-4,phi-4,2024-12-12,Microsoft Research,14.0,0.5606060606060606,0.6493580060422961,0.1375,0.6900878054654257,2.8,Google,Gemma
Gemma 3 27B,20250305190317,Qwen2.5-32B,Qwen2.5-32B-Instruct,2024-09-17,Alibaba,32.5,0.4608585858585858,0.5607061933534743,0.0736111111111111,0.1341564004095875,1.4,Google,Gemma
Gemma 3 27B,20250305190317,Qwen2.5-72B,Qwen2.5-72B-Instruct,2024-09-19,Alibaba,72.7,0.4914772727272727,0.631703172205438,0.0805555555555555,0.3333558686431693,1.4,Google,Gemma
Mistral Small 3.1,20250305190317,DeepSeek-R1,DeepSeek-R1,2025-01-20,DeepSeek,671.0,0.7171717171717171,0.9305135951661632,0.5333333333333333,2.4573525018944324,1.625,Mistral,Mistral
Mistral Small 3.1,20250305190317,DeepSeek-V3,DeepSeek-V3,2024-12-26,DeepSeek,671.0,0.5653409090909091,0.6485083081570997,0.1583333333333333,0.7467738519093762,1.625,Mistral,Mistral
Mistral Small 3.1,20250305190317,Llama 2-70B,Llama-2-70b-chat-hf,2023-07-18,Meta AI,70.0,0.2632575757575757,0.0328549848942598,0.0,-1.2661201926407928,0.40625,Mistral,Mistral
Mistral Small 3.1,20250305190317,Llama 3-70B,Meta-Llama-3-70B-Instruct,2024-04-18,Meta AI,70.0,0.4056186868686868,0.225547583081571,0.0430555555555555,-0.5279067773338373,0.40625,Mistral,Mistral
Mistral Small 3.1,20250305190317,Llama 3-8B,Meta-Llama-3-8B-Instruct,2024-04-18,Meta AI,8.0,0.2607323232323232,0.0612726586102719,0.0083333333333333,-1.2135027422428923,0.40625,Mistral,Mistral
Mistral Small 3.1,20250305190317,Llama 3.1-405B,Llama-3.1-405B-Instruct,2024-07-23,Meta AI,405.0,0.5091540404040404,0.4977341389728096,0.0972222222222222,0.24446618189547756,0.40625,Mistral,Mistral
Mistral Small 3.1,20250305190317,Llama 3.1-70B,Llama-3.1-70B-Instruct,2024-07-23,Meta AI,70.0,0.4419191919191919,0.366786253776435,0.0361111111111111,-0.2597759208011366,0.40625,Mistral,Mistral
