model,model_version,eci_score_reproduced,eci_ci_low_reproduced,eci_ci_high_reproduced,eci_input_date,published_release_date,regression_release_date,published_minus_input_days,release_date_policy,published_eci_score,absolute_published_score_difference,eci_input_source
Baichuan2-13B,Baichuan-2-13B-Base,102.87105969716373,90.55612786419277,110.36488244729946,2023-09-06,2023-09-06,2023-09-06,0,published capabilities release date,102.87,0.0010596971637255592,Qwen Technical Report
Baichuan 2-7B,Baichuan-2-7B-Base,95.96189353441596,84.14630923154297,104.8106996879142,2023-09-20,2023-09-20,2023-09-20,0,published capabilities release date,95.96,0.0018935344159700662,Baichuan 2: Open Large-scale Language Models
Baichuan1-7B,Baichuan-7B,90.05064109676277,77.0023606384949,99.57854951927881,2023-06-01,2023-06-01,2023-06-01,0,published capabilities release date,90.05,0.0006410967627772379,Qwen Technical Report
Cerebras-GPT-13B,Cerebras-GPT-13B,82.84477110318656,65.70269617190318,92.77666735986087,2023-04-06,2023-03-20,2023-03-20,-17,published capabilities release date,82.84,0.004771103186556047,XGen-7B Technical Report
CodeQwen1.5-7B,CodeQwen1.5-7B,94.48407899583994,79.66697964574333,103.43510833791728,2024-04-15,2024-04-15,2024-04-15,0,published capabilities release date,,,Qwen2.5-Coder Technical Report
DeepSeek-Coder-V2-Lite-Base,DeepSeek-Coder-V2-Lite-Base,108.59278024987266,99.81666164897423,113.99603723448882,2024-06-13,2024-06-13,2024-06-13,0,published capabilities release date,,,Qwen2.5-Coder Technical Report
DeepSeek-R1,DeepSeek-R1,139.6816648757428,137.14620907706603,140.9790368793153,2025-01-20,2025-01-20,2025-01-20,0,published capabilities release date,139.68,0.0016648757427901728,lechmazur/writing Github repository
DeepSeek-R1 (May 2025),DeepSeek-R1-0528,142.0309516063694,139.7008554542419,143.4665110647148,2025-05-28,2025-05-28,2025-05-28,0,published capabilities release date,142.03,0.0009516063693979504,lechmazur/writing Github repository
"DeepSeek-V2 (MoE-236B, May 2024)",DeepSeek-V2,124.56604921122378,118.45601214170678,127.36026360519911,2024-05-07,2024-05-07,2024-05-07,0,published capabilities release date,124.57,0.003950788776208469,DeepSeek-V3 Technical Report
DeepSeek-V3 (Mar 2025),DeepSeek-V3-0324,137.04723345201705,134.06648519388335,138.68476633810994,2025-03-24,2025-03-24,2025-03-24,0,published capabilities release date,137.05,0.0027665479829579454,lechmazur/writing Github repository
DeepSeek-V3,DeepSeek-V3-Base,132.99615911110604,128.72616067464938,136.18513075305842,2024-12-24,2024-12-26,2024-12-26,2,published capabilities release date,133.0,0.0038408888939613917,DeepSeek-V3 Technical Report
DeepSeek-V3.2-Exp,DeepSeek-V3.2-Exp_thinking,144.8644338689139,141.90356589808314,146.84313702542045,2025-09-29,2025-09-29,2025-09-29,0,published capabilities release date,144.86,0.004433868913878314,WeirdML Leaderboard
INTELLECT-1,INTELLECT-1-Instruct,100.51708643515263,89.62055945346732,106.83386873925433,2024-11-29,2024-11-29,2024-11-29,0,published capabilities release date,100.52,0.002913564847361272,INTELLECT-1 Technical Report
Kimi K2 (Jul 2025),Kimi-K2-Instruct,140.45109542572916,136.98563713681065,142.1979726480056,2025-07-11,2025-07-12,2025-07-12,1,published capabilities release date,140.45,0.0010954257291757585,lechmazur/writing Github repository
LLaMA-13B,LLaMA-13B,100.2401284462544,89.73289686635674,106.66586561048385,2023-02-27,2023-02-24,2023-02-24,-3,published capabilities release date,100.24,0.0001284462544077769,Qwen Technical Report
LLaMA-33B,LLaMA-33B,107.1116301329726,98.4347003480681,112.10752995033204,2023-02-27,2023-02-24,2023-02-24,-3,published capabilities release date,107.11,0.001630132972607612,Qwen Technical Report
LLaMA-65B,LLaMA-65B,109.8862456369298,100.56776794934638,114.73585059081456,2023-02-24,2023-02-24,2023-02-24,0,published capabilities release date,109.89,0.003754363070200384,Qwen Technical Report
LLaMA-7B,LLaMA-7B,96.3343029891235,84.62406716738721,104.20643179169014,2023-02-24,2023-02-24,2023-02-24,0,published capabilities release date,96.33,0.004302989123502243,Qwen Technical Report
Llama 2-13B,Llama-2-13b,105.85989594192868,95.7933109213507,111.14782704430122,2023-07-18,2023-07-18,2023-07-18,0,published capabilities release date,105.86,0.00010405807131519396,Gemma: Open Models Based on Gemini Research and Technology
Llama 2-34B,Llama-2-34b,104.89576280930586,95.30536819914033,110.64776207261423,2023-07-18,2023-07-18,2023-07-18,0,published capabilities release date,104.9,0.004237190694141191,Llama 2: Open Foundation and Fine-Tuned Chat Models
Llama 2-70B,Llama-2-70b-hf ,113.68664636418171,105.73132041647838,117.82260654219807,2023-07-18,2023-07-18,2023-07-18,0,published capabilities release date,113.69,0.0033536358182857384,Qwen Technical Report
Llama 2-7B,Llama-2-7b,98.71396197475738,87.1233172288448,105.64707199035318,2023-07-18,2023-07-18,2023-07-18,0,published capabilities release date,98.71,0.00396197475738802,Gemma: Open Models Based on Gemini Research and Technology
