panel,split,spec,is_current_like,n,median_multiplicative_error,geomean_multiplicative_error,rmse_log10,signed_bias_factor,within_1_5x,within_2x,within_3x,p80_multiplicative_error,p90_multiplicative_error
AA,chronological,geometric_prior,False,34,4.60525020497303,4.61698957605518,0.8158357319498281,1.0236063325375009,0.08823529411764706,0.23529411764705882,0.4117647058823529,7.215392893922788,14.424081825111733
AA,chronological,score_only,False,34,2.0018568834423034,3.2547120765942092,0.6690547768189095,2.3999346844457476,0.23529411764705882,0.5,0.6470588235294118,10.016993336330005,15.698830243492585
AA,chronological,score_date,True,34,2.564505915426542,3.1691449022964275,0.6617571348160812,2.0684804193357555,0.2647058823529412,0.4411764705882353,0.6176470588235294,9.812624181374247,13.103402998709255
AA,chronological,score_date_moe,False,34,2.373634813180343,2.8271239172023988,0.5602018907600712,1.9439465492051171,0.23529411764705882,0.38235294117647056,0.7058823529411765,7.0458678574817855,9.982783640913985
AA,chronological,score_date_moe_reasoning,False,34,2.225271992256491,2.8079145088879427,0.5633251533400693,1.9200433446840086,0.2647058823529412,0.4411764705882353,0.6470588235294118,6.284949090187025,9.685383097053776
AA,chronological_family_holdout,geometric_prior,False,34,4.5276363195025695,4.710261341699626,0.8248976727277976,1.0192295078359055,0.08823529411764706,0.20588235294117646,0.4117647058823529,7.939304540865874,14.902387838429423
AA,chronological_family_holdout,score_only,False,34,2.0635712928899865,3.4265074894522813,0.6909939134185884,2.440439742805293,0.14705882352941177,0.47058823529411764,0.6470588235294118,10.472486884144367,19.98989279543081
AA,chronological_family_holdout,score_date,True,34,2.70082658858217,3.5205146185709055,0.7219346953500286,2.2284788227133836,0.2647058823529412,0.4117647058823529,0.5882352941176471,11.609087361061977,18.705724535511067
AA,chronological_family_holdout,score_date_moe,False,34,2.6539575838087903,3.2235761000211456,0.6335085145465755,2.1578391607321086,0.20588235294117646,0.35294117647058826,0.6176470588235294,9.108792929478293,11.345551968462548
AA,chronological_family_holdout,score_date_moe_reasoning,False,34,2.279347465943068,3.1823073139190696,0.6339242830410845,2.1139195868373353,0.23529411764705882,0.4117647058823529,0.6176470588235294,8.462518228500178,11.430613272604946
ECI,chronological,geometric_prior,False,69,4.217677800895297,4.797540269773871,0.814730036311696,0.38263936309770413,0.13043478260869565,0.30434782608695654,0.36231884057971014,15.374968340640653,20.896536586959925
ECI,chronological,score_only,False,69,2.5569187723682045,2.648923326495357,0.49927125512786413,1.0985994320057302,0.2318840579710145,0.4057971014492754,0.5507246376811594,4.9220105191604375,6.448955332491447
ECI,chronological,score_date,False,69,2.390241476950587,2.738694639373567,0.5126606433675773,0.7015414644974189,0.18840579710144928,0.3333333333333333,0.5797101449275363,4.611850536307735,7.124440136898071
ECI,chronological,score_date_moe,False,69,2.1806813117789985,2.3298396212224626,0.4408079488679818,0.765540607552367,0.2608695652173913,0.463768115942029,0.6956521739130435,3.3589314946661646,4.8901279985368244
ECI,chronological,score_date_moe_reasoning,False,69,2.2375152164132692,2.3611305449563034,0.44516818181262025,0.7420613579412696,0.2463768115942029,0.42028985507246375,0.7101449275362319,3.475382692303297,4.886079041290193
ECI,chronological,blend_60_score_40_score_date,True,69,2.4891279499532724,2.634715837097109,0.48960200708639223,0.9181739354013486,0.21739130434782608,0.42028985507246375,0.5942028985507246,5.321522810550858,6.243078224533799
ECI,chronological_family_holdout,geometric_prior,False,69,4.217677800895297,4.951705143425892,0.8331613013998107,0.3759654765540877,0.13043478260869565,0.2898550724637681,0.36231884057971014,16.424473827678263,23.876038215574262
ECI,chronological_family_holdout,score_only,False,69,2.7161241168367076,2.7530922159151667,0.5181286056244258,1.0720380699858867,0.2318840579710145,0.391304347826087,0.5217391304347826,5.5090145842145,6.475877835176383
ECI,chronological_family_holdout,score_date,False,69,2.594290849321566,2.899221112762148,0.5403540887982552,0.677926192291467,0.15942028985507245,0.3333333333333333,0.5507246376811594,5.020106879469488,7.168166553654829
ECI,chronological_family_holdout,score_date_moe,False,69,2.2765218965919845,2.5024527874038904,0.4725621409875618,0.7377053110964877,0.2028985507246377,0.43478260869565216,0.6666666666666666,3.9013039507752696,5.749987796611271
ECI,chronological_family_holdout,score_date_moe_reasoning,False,69,2.3157866263181512,2.5298880941284834,0.47619504290435744,0.715510227694152,0.18840579710144928,0.391304347826087,0.6956521739130435,3.994620875651571,5.558016800761724
ECI,chronological_family_holdout,blend_60_score_40_score_date,True,69,2.5962758629332074,2.749013911872191,0.512126608638526,0.8924812284316762,0.2028985507246377,0.4057971014492754,0.5797101449275363,5.579796226324883,6.4988177917435515
No-CoT,chronological,geometric_prior,False,22,4.595347889374663,4.771694846654405,0.7963487891419911,0.7756871143191821,0.13636363636363635,0.2727272727272727,0.4090909090909091,10.480527519700276,17.228734852690017
No-CoT,chronological,log_horizon_only,False,22,2.270286274179426,2.833141825970615,0.5502641425850023,1.6635795798784536,0.18181818181818182,0.36363636363636365,0.5909090909090909,5.0800760547598305,5.3800079295972765
No-CoT,chronological,log_horizon_date,False,22,2.333018503359313,2.991871716328271,0.5873439037784437,1.639523262404305,0.18181818181818182,0.4090909090909091,0.5909090909090909,6.11864306062287,8.044033398603498
No-CoT,chronological,log_horizon_date_moe,True,22,2.0585683889438613,2.4807797777603366,0.48498193620084656,1.0994140044198424,0.3181818181818182,0.45454545454545453,0.6363636363636364,5.68729588418094,5.965936581179303
No-CoT,chronological_family_holdout,geometric_prior,False,22,6.169387799486827,5.71214819862817,0.8912517645664482,0.7702060548717329,0.13636363636363635,0.22727272727272727,0.36363636363636365,16.767170139213007,29.119051261833164
