chain,mode,sequence,slug,model,release_date,aa_intelligence_index,aa_score_change_from_previous,date_adjusted_implied_parameter_ratio_vs_first,date_adjusted_implied_parameter_ratio_vs_previous,calibration_train_n,calibration_train_creators,calibration_train_max_date,calibration_score_min,calibration_score_max,score_over_calibration_max,score_extrapolates_above_calibration_max,target_creator_excluded,evidence_grade,live_weight,interpretation
Claude Opus 4.5-4.8,max_reasoning,1,claude-opus-4-5-thinking,Claude Opus 4.5 (Reasoning),2025-11-24,40.7682906593085,,1.0,,173,31,2025-11-20,1.0,32.7026871189548,1.246634275373622,True,True,user_asserted_not_publicly_disclosed,0.0,counterfactual sensitivity if the user-supplied same-base claim is true
Claude Opus 4.5-4.8,max_reasoning,2,claude-opus-4-6-adaptive,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort)",2026-02-05,43.7100998174865,2.9418091581780033,1.2995134804383615,1.2995134804383615,173,31,2025-11-20,1.0,32.7026871189548,1.336590466052305,True,True,user_asserted_not_publicly_disclosed,0.0,counterfactual sensitivity if the user-supplied same-base claim is true
Claude Opus 4.5-4.8,max_reasoning,3,claude-opus-4-7,"Claude Opus 4.7 (Adaptive Reasoning, Max Effort)",2026-04-16,53.5296569524586,9.8195571349721,4.534947978404503,3.4897275377818633,173,31,2025-11-20,1.0,32.7026871189548,1.6368580587199602,True,True,user_asserted_not_publicly_disclosed,0.0,counterfactual sensitivity if the user-supplied same-base claim is true
Claude Opus 4.5-4.8,max_reasoning,4,claude-opus-4-8,"Claude Opus 4.8 (Adaptive Reasoning, Max Effort)",2026-05-28,55.6920406995495,2.1623837470908995,5.638319336085782,1.2433040826345862,173,31,2025-11-20,1.0,32.7026871189548,1.7029805684460053,True,True,user_asserted_not_publicly_disclosed,0.0,counterfactual sensitivity if the user-supplied same-base claim is true
Claude Opus 4.5-4.8,nonreasoning,1,claude-opus-4-5,Claude Opus 4.5 (Non-reasoning),2025-11-24,34.7090500288773,,1.0,,173,31,2025-11-20,1.0,32.7026871189548,1.061351622349088,True,True,user_asserted_not_publicly_disclosed,0.0,counterfactual sensitivity if the user-supplied same-base claim is true
Claude Opus 4.5-4.8,nonreasoning,2,claude-opus-4-6,"Claude Opus 4.6 (Non-reasoning, High Effort)",2026-02-05,37.7863097917153,3.077259762837997,1.3248731199015604,1.3248731199015604,173,31,2025-11-20,1.0,32.7026871189548,1.1554496929952274,True,True,user_asserted_not_publicly_disclosed,0.0,counterfactual sensitivity if the user-supplied same-base claim is true
Claude Opus 4.5-4.8,nonreasoning,3,claude-opus-4-7-non-reasoning,"Claude Opus 4.7 (Non-reasoning, High Effort)",2026-04-16,42.6803699085253,4.894060116810003,2.2895301280179945,1.7281127480253422,173,31,2025-11-20,1.0,32.7026871189548,1.305102842261159,True,True,user_asserted_not_publicly_disclosed,0.0,counterfactual sensitivity if the user-supplied same-base claim is true
GPT-5 through GPT-5.5,max_reasoning,1,gpt-5,GPT-5 (high),2025-08-07,34.7127335292454,,1.0,,122,26,2025-08-06,1.0,20.0823831450007,1.7285166445938847,True,True,user_asserted_not_publicly_disclosed,0.0,counterfactual sensitivity if the user-supplied same-base claim is true
GPT-5 through GPT-5.5,max_reasoning,2,gpt-5-1,GPT-5.1 (high),2025-11-13,36.8735132371926,2.1607797079471993,1.39869249296516,1.39869249296516,122,26,2025-08-06,1.0,20.0823831450007,1.8361124260479949,True,True,user_asserted_not_publicly_disclosed,0.0,counterfactual sensitivity if the user-supplied same-base claim is true
GPT-5 through GPT-5.5,max_reasoning,3,gpt-5-2,GPT-5.2 (xhigh),2025-12-11,42.1829833875032,5.309470150310602,5.0517292437392785,3.6117511669987286,122,26,2025-08-06,1.0,20.0823831450007,2.1004968923722687,True,True,user_asserted_not_publicly_disclosed,0.0,counterfactual sensitivity if the user-supplied same-base claim is true
GPT-5 through GPT-5.5,max_reasoning,4,gpt-5-3-codex,GPT-5.3 Codex (xhigh),2026-02-05,44.2682925707506,2.0853091832474036,7.590400301386059,1.5025350598100666,122,26,2025-08-06,1.0,20.0823831450007,2.204334627574852,True,True,user_asserted_not_publicly_disclosed,0.0,counterfactual sensitivity if the user-supplied same-base claim is true
GPT-5 through GPT-5.5,max_reasoning,5,gpt-5-4,GPT-5.4 (xhigh),2026-03-05,51.4012420630147,7.132949492264096,43.50571810584541,5.731676377845444,122,26,2025-08-06,1.0,20.0823831450007,2.559519041733376,True,True,user_asserted_not_publicly_disclosed,0.0,counterfactual sensitivity if the user-supplied same-base claim is true
GPT-5 through GPT-5.5,max_reasoning,6,gpt-5-5,GPT-5.5 (xhigh),2026-04-23,54.8375984166433,3.4363563536286037,93.44140816797292,2.147796019379305,122,26,2025-08-06,1.0,20.0823831450007,2.730632018157394,True,True,user_asserted_not_publicly_disclosed,0.0,counterfactual sensitivity if the user-supplied same-base claim is true
GPT-5 through GPT-5.5,nonreasoning,1,gpt-5-minimal,GPT-5 (minimal),2025-08-07,17.1753621775298,,1.0,,122,26,2025-08-06,1.0,20.0823831450007,0.855245219330726,False,True,user_asserted_not_publicly_disclosed,0.0,counterfactual sensitivity if the user-supplied same-base claim is true
GPT-5 through GPT-5.5,nonreasoning,2,gpt-5-1-non-reasoning,GPT-5.1 (Non-reasoning),2025-11-13,20.4004331227052,3.2250709451754,1.8314001937800086,1.8314001937800086,122,26,2025-08-06,1.0,20.0823831450007,1.0158372627097134,True,True,user_asserted_not_publicly_disclosed,0.0,counterfactual sensitivity if the user-supplied same-base claim is true
GPT-5 through GPT-5.5,nonreasoning,3,gpt-5-2-non-reasoning,GPT-5.2 (Non-reasoning),2025-12-11,26.0169781422358,5.6165450195306015,7.1495076045304895,3.9038477929686746,122,26,2025-08-06,1.0,20.0823831450007,1.2955124874565722,True,True,user_asserted_not_publicly_disclosed,0.0,counterfactual sensitivity if the user-supplied same-base claim is true
GPT-5 through GPT-5.5,nonreasoning,4,gpt-5-4-non-reasoning,GPT-5.4 (Non-reasoning),2026-03-05,27.678044522237,1.6610663800011984,9.081749848294393,1.2702622824737584,122,26,2025-08-06,1.0,20.0823831450007,1.3782251001981882,True,True,user_asserted_not_publicly_disclosed,0.0,counterfactual sensitivity if the user-supplied same-base claim is true
GPT-5 through GPT-5.5,nonreasoning,5,gpt-5-5-non-reasoning,GPT-5.5 (Non-reasoning),2026-04-23,35.3827351786589,7.704690656421899,57.495668665973405,6.330902042712775,122,26,2025-08-06,1.0,20.0823831450007,1.761879301036394,True,True,user_asserted_not_publicly_disclosed,0.0,counterfactual sensitivity if the user-supplied same-base claim is true
