normalized_model,ikp_base_key,model,release_date,family,actual_b,existing_predicted_b,ikp_predicted_b,blend_weight,blended_predicted_b,existing_abs_log10_error,ikp_abs_log10_error,blended_abs_log10_error,blend_minus_existing_abs_log10_error,ikp_train_rows,ikp_train_vendors,ikp_train_max_date,ikp_test_vendor_excluded
deepseekv32,deepseek-v3.2,DeepSeek-V3.2,2025-12-01,deepseek_v3,671.0,316.16812460343056,833.10623985822,0.1,348.33435825221125,0.3268044370099985,0.09397786712273117,0.28472620659672554,-0.042078230413272966,57,14,2025-09-11,True
deepseekv4flash,deepseek-v4-flash,DeepSeek-V4-Flash,2026-04-24,deepseek,284.0,274.98376283018445,1426.8092415787216,0.1,324.1999449706341,0.01401128956747465,0.7010475735949198,0.0574945967487651,0.043483307181290454,78,18,2026-04-20,True
deepseekv4pro,deepseek-v4-pro,DeepSeek-V4-Pro (max),2026-04-24,deepseek_v4,1600.0,309.68451354930505,669.042713123063,0.1,334.48213275938485,0.7132004946005408,0.3786661377109713,0.6797470589115842,-0.033453435688956645,78,18,2026-04-20,True
glm46,glm-4.6,GLM-4.6,2025-09-30,glm,357.0,156.33053597831955,1710.7736956110969,0.1,198.59060166479085,0.35862439924715034,0.6805243479306262,0.2547095245293725,-0.10391487471777783,59,14,2025-09-29,True
glm5,glm-5,GLM-5 Reasoning,2026-02-11,glm,744.0,498.1486752621221,1905.7642620121305,0.1,569.6787234809931,0.1742139558192745,0.40849624300244425,0.11594293593710261,-0.0582710198821719,64,17,2026-01-29,True
gptoss120b,gpt-oss-120b,gpt-oss-120b,2025-08-05,gpt_oss,116.83,166.30791112421136,127.73728824521834,0.1,161.9770134276978,0.1533585320321572,0.03876331552114587,0.1418990103810559,-0.011459521651101312,56,14,2025-07-28,True
llama4maverick,llama-4-maverick,Llama 4 Maverick,2025-04-05,llama4,400.0,75.80926846302135,431.0585511142825,0.1,90.19941102608546,0.7223376854812357,0.032476273493511065,0.646856289583761,-0.07548139589747471,34,9,2025-03-18,True
llama4scout,llama-4-scout,Llama 4 Scout,2025-04-05,llama4,109.0,68.24703393140769,38.831825270938594,0.1,64.50511943595532,0.20334271658994157,0.44823869311525694,0.22783231424247305,0.024489597652531475,34,9,2025-03-18,True
mimov2flash,mimo-v2-flash,MiMo-V2-Flash Reasoning,2025-12-16,mimo_v2,309.0,472.86520857888615,456.92237993886175,0.1,471.2462079219538,0.18477888221578004,0.1698839507821512,0.18328938907241718,-0.0014894931433628578,65,16,2025-12-15,True
minimaxm27,minimax-m2.7,MiniMax-M2.7,2026-03-18,minimax_m2,228.703644928,462.8283533617697,116.8132140915185,0.1,403.2990120764345,0.3061468702796545,0.2917811125421289,0.24635407199747597,-0.05979279828217851,78,18,2026-03-11,True
nemotron3nano30ba3b,nemotron-3-nano-30b,Nemotron 3 Nano 30B A3B Reasoning,2025-12-15,nemotron3,31.6,125.71407165192826,22.848815421955265,0.1,106.00634783265126,0.5996968100138053,0.14082339326915394,0.5256447896855093,-0.07405202032829594,61,15,2025-11-20,True
phi4,phi-4,Phi-4,2024-12-12,phi,14.0,71.97322659306649,15.013188529649097,0.1,61.53201954296103,0.7110429370683543,0.030344902652474158,0.6429731336267664,-0.06806980344158786,25,8,2024-12-06,True
qwen3next80ba3b,qwen3-next-80b-a3b,Qwen3-Next-80B-A3B,2025-09-10,qwen,80.0,483.17740574444605,134.41442096393484,0.1,425.14839361143805,0.7810166306949464,0.22535587851962247,0.725450555477414,-0.05556607521753243,50,14,2025-08-26,True
