draw,eci_variant,k3_eci_draw,fable_raw_reference_t,fable_ordered_reference_t,sol_raw_reference_t,sol_ordered_reference_t,opus5_raw_reference_t,opus5_ordered_reference_t
0,equal_family__all_rows,156.8813815376357,3.9763946559135643,3.9763946559135643,3.886168934750514,3.886168934750514,4.022834493505512,4.022834493505512
1,equal_family__collapsed,159.09986834479665,3.310844407571027,3.310844407571027,3.322301637169907,3.310844407571027,3.4291875429875427,3.4291875429875427
2,canonical_live_coefficients,158.14845232357374,3.75459126287897,3.75459126287897,3.466639245105208,3.466639245105208,3.519140784976432,3.519140784976432
3,equal_family__all_rows,153.7607182483459,5.18661326878157,5.18661326878157,3.81286618587278,3.81286618587278,3.9726309277572818,3.9726309277572818
4,live_inverse_eci_ci__collapsed,154.36817605633425,4.526105380807314,4.526105380807314,4.330317227980549,4.330317227980549,4.798403017454605,4.798403017454605
5,canonical_live_coefficients,157.10308184504657,3.680100240477715,3.680100240477715,3.9053918516600623,3.680100240477715,4.104714594581418,4.104714594581418
6,equal_family__collapsed,154.02056103123502,4.688950794208246,4.688950794208246,3.7886961945280326,3.7886961945280326,4.338204092668225,4.338204092668225
7,equal_family__all_rows,156.2850558301724,3.9617333844889218,3.9617333844889218,3.966137339434104,3.9617333844889218,3.7205867300090936,3.7205867300090936
8,live_inverse_eci_ci__collapsed,155.7960117466704,3.6576986204903963,3.6576986204903963,3.948282168189003,3.6576986204903963,4.717251017840298,4.717251017840298
9,equal_family__all_rows,155.40174457998765,3.898254931770029,3.898254931770029,4.2000423743023285,3.898254931770029,4.143508073905635,4.143508073905635
10,equal_family__all_rows,156.90462884984476,3.6416881144460787,3.6416881144460787,3.6055426437187985,3.6055426437187985,3.845441907772708,3.845441907772708
11,equal_family__all_rows,155.30983841762145,3.783770076356101,3.783770076356101,3.9746799675041458,3.783770076356101,3.8144025761027667,3.8144025761027667
12,live_inverse_eci_ci__collapsed,156.7565501307993,3.7743340279054363,3.7743340279054363,3.704802359786794,3.704802359786794,3.629039170744115,3.629039170744115
13,equal_family__collapsed,159.70131266962127,3.2139566159989186,3.2139566159989186,3.3625667571604363,3.2139566159989186,3.4369300224571924,3.4369300224571924
14,canonical_live_coefficients,154.55019167882898,4.542258321593363,4.542258321593363,4.803709183448698,4.542258321593363,4.106113793576678,4.106113793576678
15,equal_family__collapsed,154.51113442022603,4.086579780210462,4.086579780210462,3.5807824883612636,3.5807824883612636,3.8943586111625836,3.8943586111625836
16,live_inverse_eci_ci__collapsed,155.28345216843533,4.129165012016335,4.129165012016335,4.251264081099567,4.129165012016335,4.310878906920561,4.310878906920561
17,canonical_live_coefficients,154.89008363595173,4.154650309906492,4.154650309906492,6.6450944513326995,4.154650309906492,4.821078872798468,4.821078872798468
18,live_inverse_eci_ci__all_rows,154.43100905425598,4.214643907709882,4.214643907709882,6.159592853123604,4.214643907709882,4.163473785562176,4.163473785562176
19,live_inverse_eci_ci__all_rows,153.70934754363364,4.74874990552005,4.74874990552005,4.874800347989312,4.74874990552005,4.4969783129199135,4.4969783129199135
20,equal_family__all_rows,157.32899014596194,3.535365398526326,3.535365398526326,3.748976177040692,3.535365398526326,3.5499447395639367,3.5499447395639367
21,live_inverse_eci_ci__all_rows,155.49120234896506,4.582516551694403,4.582516551694403,4.124847629600836,4.124847629600836,5.041719477183582,5.041719477183582
22,live_inverse_eci_ci__collapsed,153.95976951468907,4.629935343676921,4.629935343676921,4.741079381035077,4.629935343676921,4.495947173333984,4.495947173333984
