model,publisher_total_b,hf_serialized_total_b,change_percent
Claude Fable 5,3423.385864206576,3451.721559225669,0.8277096460366451
Claude Opus 4.7,1678.9914129597278,1688.8536492756994,0.5873905155111103
Claude Opus 4.8,1772.4321799760103,1783.5659861894983,0.6281654293615269
Claude Opus 5,2174.1498807359553,2191.386833027127,0.7928134322246816
Claude Sonnet 5,629.0889299158929,631.8994663865792,0.44676298326566943
GPT-5.5,2320.7483593662214,2335.700196428617,0.6442679147892871
GPT-5.6 Luna,533.3388751459271,535.0432627793851,0.3195693606605543
GPT-5.6 Sol,2514.673345026518,2532.872678384339,0.72372554446547
GPT-5.6 Terra,1110.1253839041597,1115.8495758945844,0.5156347267993855
Gemini 3.1 Pro Preview,1071.169191801369,1074.5131035512602,0.31217400346137403
Gemini 3.5 Flash,711.0045640716806,713.522718570368,0.35416854207894755
Grok 4.5,626.4468824762097,629.3155845954701,0.45793222051342397
