canonical_checkpoint_id,epoch_model,developer,epoch_release_date,epoch_total_parameters_b,openrouter_model_ids,openrouter_hugging_face_repos,aa_checkpoint_group_id,aa_model,aa_creator,aa_release_date,aa_total_parameters_b,aa_active_parameters_b,hf_config_repositories,hf_config_classifications,active_parameter_source,max_total_parameter_ratio,match_method,status
checkpoint:alibaba:qwen2-5-coder-32b,Qwen2.5-Coder-32B,qwen,2024-09-18,32.5,qwen/qwen-2.5-coder-32b-instruct,qwen/qwen2.5-coder-32b-instruct,weights:https://huggingface.co/qwen/qwen2.5-coder-32b-instruct|32||2024-11-11,Qwen2.5 Coder Instruct 32B,alibaba,2024-11-11,32.0,,qwen/qwen2.5-coder-32b-instruct,dense_config,Primary Hugging Face config is dense; active equals Epoch total,1.015625,exact_hf_repo,dense_config_active_equals_total
checkpoint:alibaba:qwen3-235b-a22b,Qwen3-235B-A22B,qwen,2025-04-29,235.0,qwen/qwen3-235b-a22b,qwen/qwen3-235b-a22b,weights:https://huggingface.co/qwen/qwen3-235b-a22b|235|22|2025-04-28,Qwen3 235B A22B (Reasoning),alibaba,2025-04-28,235.0,22.0,qwen/qwen3-235b-a22b,moe_config,Artificial Analysis disclosed active parameters,1.0,exact_hf_repo,active_parameter_match
checkpoint:alibaba:qwen3-235b-a22b-thinking-jul-2025,Qwen3-235B-A22B-Thinking (Jul 2025),qwen,2025-07-25,235.0,qwen/qwen3-235b-a22b-thinking-2507,qwen/qwen3-235b-a22b-thinking-2507,weights:https://huggingface.co/qwen/qwen3-235b-a22b-thinking-2507|235|22|2025-07-25,Qwen3 235B A22B 2507 (Reasoning),alibaba,2025-07-25,235.0,22.0,qwen/qwen3-235b-a22b-thinking-2507,moe_config,Artificial Analysis disclosed active parameters,1.0,exact_hf_repo,active_parameter_match
checkpoint:alibaba:qwen3-max,Qwen3-Max,qwen,2025-09-24,1000.0,qwen/qwen3-max,,,,,,,,,,,,no_exact_aa_identity,no_exact_aa_identity
checkpoint:deepseek:deepseek-r1,DeepSeek-R1,deepseek,2025-01-20,671.0,deepseek/deepseek-r1,deepseek-ai/deepseek-r1,weights:https://huggingface.co/deepseek-ai/deepseek-r1|685|37|2025-01-20,DeepSeek R1 (Jan '25),deepseek,2025-01-20,685.0,37.0,deepseek-ai/deepseek-r1,moe_config,Artificial Analysis disclosed active parameters,1.0208643815201193,exact_hf_repo,active_parameter_match
checkpoint:deepseek:deepseek-r1-may-2025,DeepSeek-R1 (May 2025),deepseek,2025-05-28,671.0,deepseek/deepseek-r1-0528,deepseek-ai/deepseek-r1-0528,weights:https://huggingface.co/deepseek-ai/deepseek-r1-0528|685|37|2025-05-28,DeepSeek R1 0528 (May '25),deepseek,2025-05-28,685.0,37.0,deepseek-ai/deepseek-r1-0528,moe_config,Artificial Analysis disclosed active parameters,1.0208643815201193,exact_hf_repo,active_parameter_match
checkpoint:deepseek:deepseek-v3,DeepSeek-V3,deepseek,2024-12-26,671.0,deepseek/deepseek-chat,deepseek-ai/deepseek-v3,weights:https://huggingface.co/deepseek-ai/deepseek-v3|671|37|2024-12-26,DeepSeek V3 (Dec '24),deepseek,2024-12-26,671.0,37.0,deepseek-ai/deepseek-v3,moe_config,Artificial Analysis disclosed active parameters,1.0,exact_hf_repo,active_parameter_match
checkpoint:deepseek:deepseek-v3-2-exp,DeepSeek-V3.2-Exp,deepseek,2025-09-29,671.0,deepseek/deepseek-v3.2-exp,deepseek-ai/deepseek-v3.2-exp,weights:https://huggingface.co/deepseek-ai/deepseek-v3.2-exp|685|37|2025-09-29,DeepSeek V3.2 Exp (Reasoning),deepseek,2025-09-29,685.0,37.0,deepseek-ai/deepseek-v3.2-exp,moe_config,Artificial Analysis disclosed active parameters,1.0208643815201193,exact_hf_repo,active_parameter_match
checkpoint:deepseek:deepseek-v3-mar-2025,DeepSeek-V3 (Mar 2025),deepseek,2025-03-24,671.0,deepseek/deepseek-chat-v3-0324,deepseek-ai/deepseek-v3-0324,weights:https://huggingface.co/deepseek-ai/deepseek-v3-0324|671|37|2025-03-25,DeepSeek V3 0324,deepseek,2025-03-25,671.0,37.0,deepseek-ai/deepseek-v3-0324,moe_config,Artificial Analysis disclosed active parameters,1.0,exact_hf_repo,active_parameter_match
checkpoint:deepseek:deepseek-v4-pro,DeepSeek-V4-Pro,deepseek,2026-04-24,1600.0,deepseek/deepseek-v4-pro,deepseek-ai/deepseek-v4-pro,weights:https://huggingface.co/deepseek-ai/deepseek-v4-pro|1600|49|2026-04-24,"DeepSeek V4 Pro (Reasoning, Max Effort)",deepseek,2026-04-24,1600.0,49.0,deepseek-ai/deepseek-v4-pro,moe_config,Artificial Analysis disclosed active parameters,1.0,exact_hf_repo_and_audited_crosswalk,active_parameter_match
