openrouter_model_id,openrouter_model_name,endpoint_id,provider_name,provider_slug,quantization,endpoint_metadata_match,observations,median_tps,mean_tps,min_tps,max_tps,max_over_min,log_standard_deviation,median_absolute_log_deviation
ai21/jamba-large-1.7,AI21: Jamba Large 1.7,d68054f9-503c-4742-bbbb-32c415d27aa2,AI21,ai21/fp8,fp8,True,8,20.5,21.4375,10.0,33.0,3.3,0.36083047503122656,0.20775772198083287
aion-labs/aion-2.0,AionLabs: Aion-2.0,1e93b0bb-eb0f-49bc-8fda-947105413b86,AionLabs,aion-labs,unknown,True,7,65.0,65.0,60.0,68.0,1.1333333333333333,0.03566937529042226,0.015267472130788384
aion-labs/aion-3.0,AionLabs: Aion-3.0,8c8f827d-2bef-468a-8f9e-8e27b470de5e,AionLabs,aion-labs,unknown,True,8,54.5,53.0,47.0,57.0,1.2127659574468086,0.0732578216384153,0.04489265193617742
aion-labs/aion-3.0-mini,AionLabs: Aion-3.0-Mini,0ad7ab68-a351-4a96-b2ef-fa8fe13adae3,AionLabs,aion-labs,unknown,True,8,64.0,63.125,51.0,68.0,1.3333333333333333,0.08313775601179187,0.023260007817446304
aion-labs/aion-rp-llama-3.1-8b,AionLabs: Aion-RP 1.0 (8B),fd456f92-a506-4249-8527-988e9c1d84b3,AionLabs,aion-labs,unknown,True,8,13.5,15.25,11.0,24.0,2.1818181818181817,0.25153651941708005,0.16060238224521206
amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,b1b489e5-7029-4ab2-9e12-5415b55b4afa,Amazon Bedrock,amazon-bedrock,unknown,True,8,53.0,50.375,26.0,75.0,2.8846153846153846,0.38342520229032284,0.3026758986290532
amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,bccd64e6-206f-4723-a55e-25167dc4e253,Amazon Bedrock,amazon-bedrock/eu-west-1,unknown,True,8,110.0,89.625,19.0,113.0,5.947368421052632,0.5944568453536586,0.022504303232978362
amazon/nova-lite-v1,Amazon: Nova Lite 1.0,72eda073-d180-4482-8e4f-81051cb66f7e,Amazon Bedrock,amazon-bedrock,unknown,True,8,110.0,106.375,57.0,130.0,2.280701754385965,0.23373986707871455,0.018183822085437118
amazon/nova-lite-v1,Amazon: Nova Lite 1.0,908f5353-fba6-488c-8fd4-e9f041d32ac1,Amazon Bedrock,amazon-bedrock/eu-west-1,unknown,True,8,98.5,93.0,66.0,105.0,1.5909090909090908,0.14709898637198018,0.049525999475159566
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,474f0074-66f9-42f0-a866-81a2ffebb001,Amazon Bedrock,amazon-bedrock,unknown,True,8,83.0,92.625,62.0,124.0,2.0,0.2672200561594823,0.26015564204561903
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,b2fd24f9-80a2-4d47-8b3b-209fbc345d69,Amazon Bedrock,amazon-bedrock/eu-west-1,unknown,True,8,53.75,61.4375,48.0,112.0,2.3333333333333335,0.2548283499201218,0.10126213205573698
amazon/nova-premier-v1,Amazon: Nova Premier 1.0,6e4da481-6c8d-45d0-a3f5-11a9ba527485,Amazon Bedrock,amazon-bedrock,unknown,True,8,29.0,24.6875,10.0,33.0,3.3,0.3891073239894492,0.09041617662124346
amazon/nova-pro-v1,Amazon: Nova Pro 1.0,959381a4-8054-450f-9daf-5fcab64ba9aa,Amazon Bedrock,amazon-bedrock,unknown,True,7,88.0,79.28571428571429,11.0,107.0,9.727272727272727,0.7530488649599287,0.18610227963386006
amazon/nova-pro-v1,Amazon: Nova Pro 1.0,ffa54e7c-474e-4dc9-ac20-ef8015adb8d0,Amazon Bedrock,amazon-bedrock/eu-west-1,unknown,True,8,86.5,79.6875,19.5,101.0,5.17948717948718,0.5083071305067517,0.11920551172249905
anthracite-org/magnum-v4-72b,Magnum v4 72B,7f8d0c76-0eab-4606-9f4c-d0b4414e2cf1,Mancer 2,mancer/fp8,fp8,True,8,23.0,23.0,21.0,27.0,1.2857142857142858,0.06882028923795777,0.022225881285416804
anthropic/claude-3-haiku,Anthropic: Claude 3 Haiku,401c6f0f-caeb-4c84-92b7-e163dbccf7c2,Amazon Bedrock,amazon-bedrock,unknown,True,8,65.0,60.625,32.0,73.0,2.28125,0.27035809455388005,0.08819341063707054
anthropic/claude-fable-5,Anthropic: Claude Fable 5,212020fd-ae3e-48f8-a1b9-ba46a74b835b,Google,google-vertex/europe,unknown,True,4,4.0,15.0,2.0,50.0,25.0,1.2460756654565341,0.4581453659370775
anthropic/claude-fable-5,Anthropic: Claude Fable 5,52afa9b6-8499-4575-9932-f67190705711,Amazon Bedrock,amazon-bedrock,unknown,True,7,37.0,37.0,34.0,41.0,1.2058823529411764,0.055382247267029845,0.02666824708216131
