openrouter_model_id,provider_tag,status,official_endpoint_rows,frontend_endpoint_tier_rows,official_signatures_json,frontend_signatures_json,official_source_url,frontend_source_url
ai21/jamba-large-1.7,ai21/fp8,exact,1,1,"[[""('fp8', 256000.0, None, 4096.0, 2.0, 8.0, None, None, None, None, None, None, None)"", 1]]","[[""('fp8', 256000.0, None, 4096.0, 2.0, 8.0, None, None, None, None, None, None, None)"", 1]]",https://openrouter.ai/api/v1/models/ai21/jamba-large-1.7/endpoints,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=ai21%2Fjamba-large-1.7&variant=standard
aion-labs/aion-2.0,aion-labs,exact,1,1,"[[""('unknown', 131072.0, None, 32768.0, 0.8, 1.6, 0.2, None, None, None, None, None, None)"", 1]]","[[""('unknown', 131072.0, None, 32768.0, 0.8, 1.6, 0.2, None, None, None, None, None, None)"", 1]]",https://openrouter.ai/api/v1/models/aion-labs/aion-2.0/endpoints,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=aion-labs%2Faion-2.0-20260223&variant=standard
aion-labs/aion-3.0,aion-labs,exact,1,1,"[[""('unknown', 131072.0, None, 32768.0, 3.0, 6.0, 0.75, None, None, None, None, None, None)"", 1]]","[[""('unknown', 131072.0, None, 32768.0, 3.0, 6.0, 0.75, None, None, None, None, None, None)"", 1]]",https://openrouter.ai/api/v1/models/aion-labs/aion-3.0/endpoints,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=aion-labs%2Faion-3.0-20260707&variant=standard
aion-labs/aion-3.0-mini,aion-labs,exact,1,1,"[[""('unknown', 131072.0, None, 32768.0, 0.7, 1.4, 0.18, None, None, None, None, None, None)"", 1]]","[[""('unknown', 131072.0, None, 32768.0, 0.7, 1.4, 0.18, None, None, None, None, None, None)"", 1]]",https://openrouter.ai/api/v1/models/aion-labs/aion-3.0-mini/endpoints,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=aion-labs%2Faion-3.0-mini-20260707&variant=standard
aion-labs/aion-rp-llama-3.1-8b,aion-labs,exact,1,1,"[[""('unknown', 32768.0, None, 32768.0, 0.8, 1.6, None, None, None, None, None, None, None)"", 1]]","[[""('unknown', 32768.0, None, 32768.0, 0.8, 1.6, None, None, None, None, None, None, None)"", 1]]",https://openrouter.ai/api/v1/models/aion-labs/aion-rp-llama-3.1-8b/endpoints,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=aion-labs%2Faion-rp-llama-3.1-8b&variant=standard
allenai/olmo-3-32b-think,parasail/bf16,frontend_only,0,1,[],"[[""('bf16', 65536.0, None, 65536.0, 0.15, 0.5, None, None, None, None, None, None, None)"", 1]]",https://openrouter.ai/api/v1/models/allenai/olmo-3-32b-think/endpoints,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=allenai%2Folmo-3-32b-think-20251121&variant=standard
amazon/nova-2-lite-v1,amazon-bedrock,exact,1,1,"[[""('unknown', 1000000.0, None, 65535.0, 0.3, 2.5, None, None, None, None, None, None, None)"", 1]]","[[""('unknown', 1000000.0, None, 65535.0, 0.3, 2.5, None, None, None, None, None, None, None)"", 1]]",https://openrouter.ai/api/v1/models/amazon/nova-2-lite-v1/endpoints,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=amazon%2Fnova-2-lite-v1&variant=standard
amazon/nova-2-lite-v1,amazon-bedrock/eu-west-1,exact,1,1,"[[""('unknown', 1000000.0, None, 65535.0, 0.3, 2.5, None, None, None, None, None, None, None)"", 1]]","[[""('unknown', 1000000.0, None, 65535.0, 0.3, 2.5, None, None, None, None, None, None, None)"", 1]]",https://openrouter.ai/api/v1/models/amazon/nova-2-lite-v1/endpoints,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=amazon%2Fnova-2-lite-v1&variant=standard
amazon/nova-lite-v1,amazon-bedrock,exact,1,1,"[[""('unknown', 300000.0, None, 5120.0, 0.06, 0.24, None, None, None, None, None, None, None)"", 1]]","[[""('unknown', 300000.0, None, 5120.0, 0.06, 0.24, None, None, None, None, None, None, None)"", 1]]",https://openrouter.ai/api/v1/models/amazon/nova-lite-v1/endpoints,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=amazon%2Fnova-lite-v1&variant=standard
amazon/nova-lite-v1,amazon-bedrock/eu-west-1,exact,1,1,"[[""('unknown', 300000.0, None, 5120.0, 0.06, 0.24, None, None, None, None, None, None, None)"", 1]]","[[""('unknown', 300000.0, None, 5120.0, 0.06, 0.24, None, None, None, None, None, None, None)"", 1]]",https://openrouter.ai/api/v1/models/amazon/nova-lite-v1/endpoints,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=amazon%2Fnova-lite-v1&variant=standard
