openrouter_model_id,openrouter_model_name,snapshots,observations,median_tps,mean_tps,min_tps,max_tps,max_over_min,log_standard_deviation,median_absolute_log_deviation,snapshot_medians_json
ai21/jamba-large-1.7,AI21: Jamba Large 1.7,8,8,17.0,17.8125,17.0,20.5,1.2058823529411764,0.07597009164110294,0.0,"{""20260717T233339+0000"": 20.0, ""20260718T020616+0000"": 17.0, ""20260718T062438+0000"": 17.0, ""20260718T072451+0000"": 17.0, ""20260718T074000+0000"": 17.0, ""20260718T074750+0000"": 17.0, ""20260718T083231+0000"": 17.0, ""20260731T010927+0000"": 20.5}"
aion-labs/aion-2.0,AionLabs: Aion-2.0,8,8,62.0,62.3125,61.5,65.0,1.056910569105691,0.016227885272741167,0.0,"{""20260717T233339+0000"": 61.5, ""20260718T020616+0000"": 62.0, ""20260718T062438+0000"": 62.0, ""20260718T072451+0000"": 62.0, ""20260718T074000+0000"": 62.0, ""20260718T074750+0000"": 62.0, ""20260718T083231+0000"": 62.0, ""20260731T010927+0000"": 65.0}"
aion-labs/aion-3.0,AionLabs: Aion-3.0,8,8,47.5,48.4375,47.5,54.5,1.1473684210526316,0.04509996704637613,0.0,"{""20260717T233339+0000"": 48.0, ""20260718T020616+0000"": 47.5, ""20260718T062438+0000"": 47.5, ""20260718T072451+0000"": 47.5, ""20260718T074000+0000"": 47.5, ""20260718T074750+0000"": 47.5, ""20260718T083231+0000"": 47.5, ""20260731T010927+0000"": 54.5}"
aion-labs/aion-3.0-mini,AionLabs: Aion-3.0-Mini,8,8,61.0,61.3125,60.5,64.0,1.0578512396694215,0.01648799912747019,0.0,"{""20260717T233339+0000"": 60.5, ""20260718T020616+0000"": 61.0, ""20260718T062438+0000"": 61.0, ""20260718T072451+0000"": 61.0, ""20260718T074000+0000"": 61.0, ""20260718T074750+0000"": 61.0, ""20260718T083231+0000"": 61.0, ""20260731T010927+0000"": 64.0}"
aion-labs/aion-rp-llama-3.1-8b,AionLabs: Aion-RP 1.0 (8B),8,8,17.25,16.8125,13.5,17.5,1.2962962962962963,0.08281106521355967,0.014493768436626198,"{""20260717T233339+0000"": 17.0, ""20260718T020616+0000"": 17.0, ""20260718T062438+0000"": 17.0, ""20260718T072451+0000"": 17.5, ""20260718T074000+0000"": 17.5, ""20260718T074750+0000"": 17.5, ""20260718T083231+0000"": 17.5, ""20260731T010927+0000"": 13.5}"
amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,8,8,73.0,73.9375,72.5,81.5,1.1241379310344828,0.03718957091851126,0.0,"{""20260717T233339+0000"": 72.5, ""20260718T020616+0000"": 72.5, ""20260718T062438+0000"": 73.0, ""20260718T072451+0000"": 73.0, ""20260718T074000+0000"": 73.0, ""20260718T074750+0000"": 73.0, ""20260718T083231+0000"": 73.0, ""20260731T010927+0000"": 81.5}"
amazon/nova-lite-v1,Amazon: Nova Lite 1.0,8,8,108.25,108.4375,104.25,111.25,1.0671462829736211,0.018257329226998808,0.0,"{""20260717T233339+0000"": 111.25, ""20260718T020616+0000"": 110.75, ""20260718T062438+0000"": 108.25, ""20260718T072451+0000"": 108.25, ""20260718T074000+0000"": 108.25, ""20260718T074750+0000"": 108.25, ""20260718T083231+0000"": 108.25, ""20260731T010927+0000"": 104.25}"
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,8,8,70.0,70.296875,68.375,74.25,1.0859232175502742,0.022112476159439613,0.0,"{""20260717T233339+0000"": 74.25, ""20260718T020616+0000"": 69.75, ""20260718T062438+0000"": 70.0, ""20260718T072451+0000"": 70.0, ""20260718T074000+0000"": 70.0, ""20260718T074750+0000"": 70.0, ""20260718T083231+0000"": 70.0, ""20260731T010927+0000"": 68.375}"
amazon/nova-premier-v1,Amazon: Nova Premier 1.0,8,8,27.0,28.125,27.0,31.0,1.1481481481481481,0.05349297795571933,0.0,"{""20260717T233339+0000"": 31.0, ""20260718T020616+0000"": 30.0, ""20260718T062438+0000"": 27.0, ""20260718T072451+0000"": 27.0, ""20260718T074000+0000"": 27.0, ""20260718T074750+0000"": 27.0, ""20260718T083231+0000"": 27.0, ""20260731T010927+0000"": 29.0}"
amazon/nova-pro-v1,Amazon: Nova Pro 1.0,8,8,101.25,100.0,87.25,103.25,1.183381088825215,0.05172895276825523,0.0,"{""20260717T233339+0000"": 103.25, ""20260718T020616+0000"": 103.25, ""20260718T062438+0000"": 101.25, ""20260718T072451+0000"": 101.25, ""20260718T074000+0000"": 101.25, ""20260718T074750+0000"": 101.25, ""20260718T083231+0000"": 101.25, ""20260731T010927+0000"": 87.25}"
