measurement_id,observation_id,canonical_checkpoint_id,canonical_base_id,source,source_model_name,source_configuration,matched_epoch_model,epoch_link_level,benchmark_name,metric_name,value,value_raw,unit,ci_low,ci_high,measurement_notes
m:000001,epoch:00005,checkpoint:z-ai-zhipu-ai:glm-5-2,base:checkpoint:z-ai-zhipu-ai:glm-5-2,Epoch,GLM-5.2,,GLM-5.2,checkpoint,Epoch model metadata,epoch.Parameters,744000000000,744000000000.0,parameters,,,
m:000002,epoch:00006,checkpoint:moonshot:kimi-k2-7-code,base-ref:checkpoint:moonshot:kimi-k2-6,Epoch,Kimi K2.7 Code,,Kimi K2.7 Code,checkpoint,Epoch model metadata,epoch.Parameters,1040000000000,1040000000000.0,parameters,,,
m:000003,epoch:00009,checkpoint:epoch:north-mini-code,base:checkpoint:epoch:north-mini-code,Epoch,North Mini Code,,North Mini Code,checkpoint,Epoch model metadata,epoch.Parameters,30000000000,30000000000.0,parameters,,,
m:000004,epoch:00010,checkpoint:epoch:nemotron-3-ultra,base:checkpoint:epoch:nemotron-3-ultra,Epoch,Nemotron 3 Ultra,,Nemotron 3 Ultra,checkpoint,Epoch model metadata,epoch.Parameters,550000000000,550000000000.0,parameters,,,
m:000005,epoch:00010,checkpoint:epoch:nemotron-3-ultra,base:checkpoint:epoch:nemotron-3-ultra,Epoch,Nemotron 3 Ultra,,Nemotron 3 Ultra,checkpoint,Epoch model metadata,epoch.Training compute (FLOP),6.6e+24,6.6e+24,FLOP,,,
m:000006,epoch:00011,checkpoint:epoch:gemma-4-12b,base:checkpoint:epoch:gemma-4-12b,Epoch,Gemma 4 12B,,Gemma 4 12B,checkpoint,Epoch model metadata,epoch.Parameters,11950000000,11950000000.0,parameters,,,
m:000007,epoch:00015,checkpoint:epoch:composer-2-5,base:checkpoint:epoch:composer-2-5,Epoch,Composer 2.5,,Composer 2.5,checkpoint,Epoch model metadata,epoch.Parameters,1040000000000,1040000000000.0,parameters,,,
m:000008,epoch:00015,checkpoint:epoch:composer-2-5,base:checkpoint:epoch:composer-2-5,Epoch,Composer 2.5,,Composer 2.5,checkpoint,Epoch model metadata,epoch.Training compute (FLOP),3.87e+25,3.87e+25,FLOP,,,
m:000009,epoch:00016,checkpoint:epoch:tml-interaction-small,base:checkpoint:epoch:tml-interaction-small,Epoch,TML-Interaction-Small,,TML-Interaction-Small,checkpoint,Epoch model metadata,epoch.Parameters,276000000000,276000000000.0,parameters,,,
m:000010,epoch:00017,checkpoint:epoch:mistral-medium-3-5,base:checkpoint:epoch:mistral-medium-3-5,Epoch,Mistral Medium 3.5,,Mistral Medium 3.5,checkpoint,Epoch model metadata,epoch.Parameters,128000000000,128000000000.0,parameters,,,
