Model,eci,eci_ci_low,eci_ci_high,date,model_version,source
GPT-5.6 Sol,161.7210971187139,159.3057997035483,165.50349970145692,2026-07-09,gpt-5.6-sol_max,Epoch evaluations
GPT-5.5 Pro,160.85686581019968,158.4033624493961,164.27165003429036,2026-04-23,gpt-5.5-pro-pre-release_xhigh,Epoch evaluations
Claude Fable 5,160.72794930035383,158.50469067162285,164.45972388277295,2026-06-09,claude-fable-5_max,Epoch evaluations
Claude Opus 5,159.3778667882398,157.24933114170264,162.20640578425878,2026-07-24,claude-opus-5_max,Epoch evaluations
GPT-5.5,158.45884239290103,156.56707673527112,161.13643485368274,2026-04-23,gpt-5.5_low,Epoch evaluations
GPT-5.6 Terra,158.23470199211692,155.57716799867544,161.27856920045247,2026-07-09,gpt-5.6-terra_max,Epoch evaluations
Claude Opus 4.8,158.01423653838694,155.58245035917224,160.1111258581962,2026-05-28,claude-opus-4-8_max,Epoch evaluations
GPT-5.4 Pro,157.90771529751407,155.96014593615305,160.63735453320777,2026-03-05,gpt-5.4-pro-2026-03-05_xhigh,Epoch evaluations
GPT-5.4,156.10041105318683,154.57036176324235,158.24609673835974,2026-03-05,gpt-5.4-2026-03-05_xhigh,Epoch evaluations
Claude Opus 4.7,156.06506820167144,154.14357379748796,158.4754374893854,2026-04-16,claude-opus-4-7_xhigh,Epoch evaluations
Kimi K3,155.5939255295791,153.7185667991785,158.77314102065105,2026-07-16,kimi-k3_max,Epoch evaluations
GPT-5.3 Codex,155.59157218997638,153.41234586472643,158.7802349302692,2026-02-05,gpt-5.3-codex,WeirdML Leaderboard
Claude Opus 4.6,155.36704890497887,153.4536871599136,157.45307054802268,2026-02-05,claude-opus-4-6_32K,Epoch evaluations
GPT-5.6 Luna,155.34898857294382,152.76976377642833,157.86458061225426,2026-07-09,gpt-5.6-luna_max,Epoch evaluations
Gemini 3.1 Pro,154.89543967220428,153.1861784160412,157.65947909406646,2026-02-19,gemini-3.1-pro-preview,Epoch evaluations
GPT-5.2 Pro,154.66049836215973,152.93252909798255,157.01130987417378,2025-12-11,gpt-5.2-pro-2025-12-11,SimpleBench Leaderboard
Gemini 3.5 Flash,154.62652435385246,152.8238231944173,157.2905704279224,2026-05-19,gemini-3.5-flash_high,Epoch evaluations
Muse Spark,154.30976379436976,151.8459738446052,157.99257973519116,2026-04-08,muse-spark,Epoch evaluations
GPT-5.2,153.7150967289179,152.11489586416684,155.25957134928478,2025-12-11,gpt-5.2-2025-12-11_xhigh,Epoch evaluations
Grok 4.5,153.60935822710232,151.92336443194313,156.40087543568342,2026-07-08,grok-4.5_high,Epoch evaluations
Claude Sonnet 5,153.4725426617507,151.14074300172166,155.36481038674356,2026-06-30,claude-sonnet-5_xhigh,Epoch evaluations
Gemini 3 Pro,153.27128143321352,151.3390163166286,155.69139510114815,2025-11-18,gemini-3-pro-preview,Epoch evaluations
Claude Sonnet 4.6,153.19576392556326,149.82401986630308,156.31052412196092,2026-02-17,claude-sonnet-4-6_32K,Epoch evaluations
Qwen3.7-Max,153.0917191537387,151.0895888954845,155.39381451169635,2026-05-19,qwen3.7-max,Epoch evaluations
Grok 4.20,152.59085465573887,148.95919806489937,154.7702329136574,2026-02-17,grok-4.20-0309-reasoning,Epoch evaluations
GLM-5.2,151.36582865860095,149.77706188406438,153.34520878068676,2026-06-16,glm-5.2_max,Epoch evaluations
Kimi K2.6,151.02851445040085,149.3261599611811,152.5195423048531,2026-04-20,kimi-k2.6,Epoch evaluations
Gemini 3 Flash,150.6182385024725,146.1460381897283,152.9171384054003,2025-12-17,gemini-3-flash-preview,Epoch evaluations
GLM-5.1,150.43274437823914,148.0577361636568,151.89353808778603,2026-04-07,glm-5.1,Epoch evaluations
