benchmark,edi,discriminability_scaled,benchmark_release_date,is_anchor,edi_ci_low,edi_ci_high,discriminability_scaled_ci_low,discriminability_scaled_ci_high
TriviaQA,57.78790145537171,0.021035832814398893,2017-05-09,False,19.673866546375734,83.58476647038717,0.012759238466635422,0.03941102585801501
LAMBADA,59.58404203022842,0.02159335822547447,2016-06-20,False,27.062898972761058,81.22045126027565,0.013457194135632641,0.038043741888879885
PIQA,86.39063178979085,0.022211077695673948,2019-11-26,False,70.37772501030243,94.62159797405613,0.016441960808974327,0.0283931747828869
HellaSwag,87.10163934508338,0.04160388993328406,2019-05-19,False,70.41670314355594,95.76390864411997,0.028526873425546037,0.05786773237034584
OpenBookQA,106.05977156913892,0.08998050048005665,2018-09-08,False,96.75175783886867,111.38759025692686,0.06554156777024592,0.12517674549818567
GSM8K,106.1044350707463,0.10629214626548433,2021-10-27,False,96.8570208293756,111.08210364538247,0.08260840983197391,0.15310145548999576
ARC AI2,106.66430110242996,0.0999938691505275,2018-03-14,False,97.6340276374989,111.27131151606451,0.08104840406230175,0.1404471223502896
Lech Mazur Writing,107.75570148475059,0.038332966679509736,2025-01-31,False,82.77544734552772,115.37076107053156,0.02230334860950298,0.05099308173549908
Winogrande,110.69582717286775,0.05217336857850293,2019-07-24,True,101.98907457221524,115.27257950927961,0.043792626151273606,0.06340869929530407
MMLU,110.89453307664286,0.07666265795188558,2020-09-07,False,102.56237041125324,114.90224843440622,0.061010012722606755,0.09726045718611744
ScienceQA,111.40198753581831,0.09649785031358352,2022-09-20,False,102.26458781476403,117.59045029874424,0.05724940424216727,0.14241430841337488
BBH,113.83227419512669,0.10090218106839814,2022-10-17,False,105.41685879040816,117.4963437947267,0.07980579803671461,0.13272472641230776
GeoBench,119.92508347017042,0.03640748911360499,2025-03-01,False,90.95215409578388,127.64929058805922,0.014520926397053853,0.058640012335375
ANLI,127.39217804988618,0.07915787846707593,2019-10-31,False,121.12537994803719,143.24099932466706,0.030181039919051487,0.13509935454864958
MATH level 5,128.29850245068874,0.18147462953679191,2021-03-05,False,123.09320484381277,129.5588008637397,0.14462441050435942,0.20978805520186097
Fiction.LiveBench,135.69312880742376,0.1281045921508225,2025-02-21,False,132.27449354817503,137.57356089809102,0.09745039862362273,0.17050201410744353
GPQA diamond,136.05251177809424,0.1193547740808621,2023-11-20,False,132.88330244013343,136.94121907525084,0.09807203124697317,0.13088695394923383
SWE-Bench verified,136.43647472985748,0.07170148124320594,2024-08-13,False,125.0992049759414,138.3787393294346,0.040880559047847695,0.08323642563799255
OTIS Mock AIME 2024-2025,138.3704021402081,0.23115953678272003,2024-12-19,False,135.43952386431948,139.36328321605166,0.18806926401055762,0.25937892912068583
Aider polyglot,138.8535305479521,0.16825134472538444,2024-12-21,False,135.82289319611976,140.00674761590537,0.13505451685365233,0.2144427171968463
CadEval,140.35779384016382,0.09709197674900778,2025-04-22,False,137.58136402251242,142.06604522819123,0.06836211278994285,0.1400571034508173
