snapshot_date,fetched_at_utc,hugging_face_repo,checkpoint_count,checkpoint_ids,openrouter_model_count,openrouter_model_ids,requested_url,final_url,status_code,content_bytes,content_sha256,error,model_type,architectures_json,expert_fields_json,routed_expert_count,experts_per_token,shared_expert_count,architecture_classification
2026-07-18,2026-07-18T09:33:13.390541+00:00,arcee-ai/trinity-large-thinking,1,checkpoint:epoch:arcee-trinity-large,1,arcee-ai/trinity-large-thinking,https://huggingface.co/arcee-ai/trinity-large-thinking/raw/main/config.json,https://huggingface.co/arcee-ai/Trinity-Large-Thinking/raw/main/config.json,200,2658,ab43bca1fa33c926a71c0156e3f673b84bc7928f0975450bdac7b8dc6e163c3a,,afmoe,"[""AfmoeForCausalLM""]","{""moe_intermediate_size"": 3072, ""num_experts"": 256, ""num_experts_per_tok"": 4, ""num_shared_experts"": 1}",256.0,4.0,1.0,moe_config
2026-07-18,2026-07-18T09:33:13.390541+00:00,baidu/ernie-4.5-vl-424b-a47b-pt,1,checkpoint:epoch:ernie-4-5-vl-424b-a47b-4-5,1,baidu/ernie-4.5-vl-424b-a47b,https://huggingface.co/baidu/ernie-4.5-vl-424b-a47b-pt/raw/main/config.json,https://huggingface.co/baidu/ERNIE-4.5-VL-424B-A47B-PT/raw/main/config.json,200,1903,7c0e1d13fc67022e0b5cdefd3485321f05375c38d7b4c032998e30c9de84e836,,ernie4_5_moe_vl,"[""Ernie4_5_VLMoeForConditionalGeneration""]",{},,,,moe_config
2026-07-18,2026-07-18T09:33:13.390541+00:00,cohereforai/c4ai-command-a-03-2025,1,checkpoint:epoch:cohere-command-a,1,cohere/command-a,https://huggingface.co/cohereforai/c4ai-command-a-03-2025/raw/main/config.json,https://huggingface.co/cohereforai/c4ai-command-a-03-2025/raw/main/config.json,401,141,2f57d79ebd628243f53c246d45cd92d37f698908b525dc01cd85093823949fba,HTTP 401,,[],{},,,,unavailable
2026-07-18,2026-07-18T09:33:13.390541+00:00,deepseek-ai/deepseek-r1,1,checkpoint:deepseek:deepseek-r1,1,deepseek/deepseek-r1,https://huggingface.co/deepseek-ai/deepseek-r1/raw/main/config.json,https://huggingface.co/deepseek-ai/DeepSeek-R1/raw/main/config.json,200,1660,79ddea672a62e95d3f0be27be434375538e1988975971cffcf87c96c1de84a65,,deepseek_v3,"[""DeepseekV3ForCausalLM""]","{""moe_intermediate_size"": 2048, ""n_routed_experts"": 256, ""n_shared_experts"": 1, ""num_experts_per_tok"": 8}",256.0,8.0,1.0,moe_config
2026-07-18,2026-07-18T09:33:13.390541+00:00,deepseek-ai/deepseek-r1-0528,1,checkpoint:deepseek:deepseek-r1-may-2025,1,deepseek/deepseek-r1-0528,https://huggingface.co/deepseek-ai/deepseek-r1-0528/raw/main/config.json,https://huggingface.co/deepseek-ai/DeepSeek-R1-0528/raw/main/config.json,200,1660,79ddea672a62e95d3f0be27be434375538e1988975971cffcf87c96c1de84a65,,deepseek_v3,"[""DeepseekV3ForCausalLM""]","{""moe_intermediate_size"": 2048, ""n_routed_experts"": 256, ""n_shared_experts"": 1, ""num_experts_per_tok"": 8}",256.0,8.0,1.0,moe_config
2026-07-18,2026-07-18T09:33:13.390541+00:00,deepseek-ai/deepseek-r1-distill-llama-70b,1,checkpoint:epoch:deepseek-r1-distill-llama-70b,1,deepseek/deepseek-r1-distill-llama-70b,https://huggingface.co/deepseek-ai/deepseek-r1-distill-llama-70b/raw/main/config.json,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B/raw/main/config.json,200,879,95ef9768e4741543dbfaf0c274f101855883ff338b235c99eca2b6a4f4abee12,,llama,"[""LlamaForCausalLM""]",{},,,,dense_config
2026-07-18,2026-07-18T09:33:13.390541+00:00,deepseek-ai/deepseek-v3,1,checkpoint:deepseek:deepseek-v3,1,deepseek/deepseek-chat,https://huggingface.co/deepseek-ai/deepseek-v3/raw/main/config.json,https://huggingface.co/deepseek-ai/DeepSeek-V3/raw/main/config.json,200,1660,cbf0b95dc614de208a109bb5fd4e7eed11385e9c68411d2c17db5319443035d9,,deepseek_v3,"[""DeepseekV3ForCausalLM""]","{""moe_intermediate_size"": 2048, ""n_routed_experts"": 256, ""n_shared_experts"": 1, ""num_experts_per_tok"": 8}",256.0,8.0,1.0,moe_config
2026-07-18,2026-07-18T09:33:13.390541+00:00,deepseek-ai/deepseek-v3-0324,1,checkpoint:deepseek:deepseek-v3-mar-2025,1,deepseek/deepseek-chat-v3-0324,https://huggingface.co/deepseek-ai/deepseek-v3-0324/raw/main/config.json,https://huggingface.co/deepseek-ai/DeepSeek-V3-0324/raw/main/config.json,200,1660,79ddea672a62e95d3f0be27be434375538e1988975971cffcf87c96c1de84a65,,deepseek_v3,"[""DeepseekV3ForCausalLM""]","{""moe_intermediate_size"": 2048, ""n_routed_experts"": 256, ""n_shared_experts"": 1, ""num_experts_per_tok"": 8}",256.0,8.0,1.0,moe_config
2026-07-18,2026-07-18T09:33:13.390541+00:00,deepseek-ai/deepseek-v3.1,1,checkpoint:epoch:deepseek-v3-1,1,deepseek/deepseek-chat-v3.1,https://huggingface.co/deepseek-ai/deepseek-v3.1/raw/main/config.json,https://huggingface.co/deepseek-ai/DeepSeek-V3.1/raw/main/config.json,200,1686,3e5d192d745758862b0a3e6338ee181991db49933dbbd3185e1bde34944e7bad,,deepseek_v3,"[""DeepseekV3ForCausalLM""]","{""moe_intermediate_size"": 2048, ""n_routed_experts"": 256, ""n_shared_experts"": 1, ""num_experts_per_tok"": 8}",256.0,8.0,1.0,moe_config
2026-07-18,2026-07-18T09:33:13.390541+00:00,deepseek-ai/deepseek-v3.1-terminus,1,checkpoint:epoch:deepseek-v3-1-terminus,1,deepseek/deepseek-v3.1-terminus,https://huggingface.co/deepseek-ai/deepseek-v3.1-terminus/raw/main/config.json,https://huggingface.co/deepseek-ai/DeepSeek-V3.1-Terminus/raw/main/config.json,200,1690,c4238c5e765fa571f59443700af2d4ccdd9f2f62301b1f327722b486340f0d01,,deepseek_v3,"[""DeepseekV3ForCausalLM""]","{""moe_intermediate_size"": 2048, ""n_routed_experts"": 256, ""n_shared_experts"": 1, ""num_experts_per_tok"": 8}",256.0,8.0,1.0,moe_config
