name,true_B,accuracy,est_B,err_ratio,arch,in_calib_set
smollm2-135m,0.135,0.0332,0,1.571,dense,False
gemma-3-270m,0.268,0.0289,0,0.740,dense,False
smollm2-360m,0.362,0.1489,1,3.577,dense,False
qwen-2.5-0.5b,0.494,0.1300,1,1.950,dense,False
qwen3-0.6b,0.596,0.0521,0,0.478,dense,False
qwen3.5-0.8b,0.8,0.0582,0,0.392,dense,False
gemma-3-1b,1,0.1371,1,1.077,dense,False
llama-3.2-1b,1.24,0.1904,2,1.996,dense,True
smollm2-1.7b,1.7,0.2321,5,2.798,dense,False
granite-3.3-2b,2,0.2121,3,1.739,dense,False
gemma-2-2b,2.6,0.2132,4,1.361,dense,False
ministral-3b,3,0.2675,8,2.756,dense,True
llama-3.2-3b,3.21,0.2843,11,3.348,dense,True
phi-3-mini,3.8,0.2132,4,0.931,dense,False
gemma-3-4b,4,0.2364,5,1.271,dense,True
gemma-3n-e4b,4,0.2589,7,1.807,dense,False
command-r7b,7,0.2696,9,1.221,dense,False
mistral-7b,7.2,0.2746,9,1.284,dense,False
qwen-2.5-7b,7.62,0.2757,9,1.234,dense,True
qwen3-8b-think,8,0.3175,18,2.258,dense,False
ministral-8b,8,0.3404,26,3.228,dense,True
llama-3-8b,8.03,0.3704,41,5.141,dense,True
llama-3.1-8b,8.03,0.3657,38,4.781,dense,True
qwen3.5-9b-think,9,0.3486,29,3.263,dense,False
nemotron-nano-9b-v2,9,0.3121,17,1.846,dense,False
gemma-3-12b,12,0.2982,13,1.114,dense,True
mistral-nemo-12b,12,0.3386,25,2.093,dense,False
qwen3-14b-think,14,0.3571,34,2.398,dense,False
phi-4,14.7,0.3336,23,1.580,dense,True
gpt-oss-20b-think,20,0.3396,26,1.277,dense,False
mistral-small-24b,24,0.4414,125,5.225,dense,True
gemma-4-26b-a4b,26,0.3561,33,1.270,moe,False
qwen3.5-27b-think,27,0.4246,96,3.572,dense,False
gemma-3-27b,27,0.3479,29,1.075,dense,True
gemma-2-27b,27,0.3568,33,1.237,dense,True
qwen3-30b-a3b-think,30,0.3864,53,1.769,moe,False
glm-4.7-flash-think,30,0.4450,133,4.420,moe,False
nemotron-3-nano-30b,30,0.3532,32,1.052,moe,False
gemma-4-31b,31,0.3661,39,1.245,dense,False
qwq-32b-think,32,0.3939,60,1.865,dense,False
qwen3-32b-think,32,0.3925,58,1.824,dense,False
deepseek-r1-distill-qwen-32b-think,32,0.3511,31,0.954,dense,False
olmo-3.1-32b,32,0.3471,29,0.897,dense,False
glm-4-32b,32,0.4236,95,2.964,dense,False
qwen3.5-35b-a3b-think,35,0.4500,143,4.097,moe,False
mixtral-8x7b,46.7,0.4532,151,3.229,moe,True
nemotron-super-49b-think,49,0.3800,48,0.979,dense,False
deepseek-r1-distill-llama-70b-think,70,0.4882,261,3.723,dense,False
nemotron-70b,70,0.5257,468,6.691,dense,True
llama-3-70b,70.6,0.5307,506,7.174,dense,False
llama-3.1-70b,70.6,0.4950,290,4.104,dense,True
llama-3.3-70b,70.6,0.5246,461,6.524,dense,True
qwen-2.5-72b,72.7,0.4364,116,1.595,dense,True
qwen3-next-80b-a3b,80,0.4975,301,3.766,moe,False
hunyuan-a13b-think,80,0.2671,8,0.103,moe,False
hunyuan-a13b,80,0.2589,7,0.090,moe,False
command-r-plus,104,0.4236,95,0.912,dense,False
ling-2.6-flash,104,0.1829,2,0.021,moe,False
glm-4.5-air-think,106,0.5204,431,4.064,moe,False
intellect-3-think,106,0.4314,107,1.012,moe,False
llama-4-scout,109,0.3921,58,0.532,moe,False
command-a,111,0.5379,566,5.102,dense,False
gpt-oss-120b-think,120,0.4536,152,1.263,dense,False
nemotron-3-super-120b,120,0.5279,484,4.036,moe,False
qwen3.5-122b-a10b-think,122,0.5325,521,4.269,moe,False
mistral-large,123,0.5032,329,2.679,dense,True
mixtral-8x22b,141,0.5561,753,5.340,moe,True
step-3.5-flash-think,197,0.5743,1001,5.081,moe,False
minimax-m2.7-think,230,0.5007,317,1.378,moe,False
qwen3-235b-a22b-think,235,0.4882,261,1.109,moe,False
deepseek-v4-flash-think,284,0.6596,3802,13.386,moe,False
deepseek-v4-flash,284,0.6782,5082,17.896,moe,False
ernie-4.5-300b-a47b,300,0.4936,283,0.945,moe,False
mimo-v2-flash-think,309,0.5643,856,2.770,moe,False
mimo-v2-flash,309,0.5593,792,2.562,moe,False
glm-4.5-think,355,0.6082,1701,4.792,moe,False
glm-4.6-think,357,0.6275,2300,6.443,moe,False
glm-4.7-think,358,0.6357,2615,7.305,moe,False
qwen3.5-397b-a17b-think,397,0.5564,757,1.907,moe,False
jamba-large,398,0.5432,616,1.547,moe,False
llama-4-maverick,402,0.5943,1368,3.404,moe,False
hermes-3-405b,405,0.4411,125,0.308,dense,True
hermes-4-405b,405,0.4989,308,0.761,dense,True
minimax-m1-think,456,0.2696,9,0.019,moe,False
deepseek-v3,671,0.6211,2080,3.100,moe,True
deepseek-v3.2-think,671,0.6268,2274,3.390,moe,False
deepseek-v3.2,671,0.6143,1871,2.788,moe,False
deepseek-r1-think,671,0.6271,2287,3.409,moe,False
deepseek-v3.1-nex-n1,671,0.3757,45,0.067,moe,False
glm-5-think,744,0.6493,3233,4.346,moe,False
glm-5.1-think,754,0.6621,3953,5.243,moe,False
kimi-k2,1000,0.6257,2237,2.237,moe,False
kimi-k2.5-think,1040,0.6879,5909,5.682,moe,False
kimi-k2.6-think,1040,0.6786,5111,4.914,moe,False
deepseek-v4-pro-think,1600,0.6943,6534,4.084,moe,False
deepseek-v4-pro,1600,0.5721,968,0.605,moe,False
gpt-4,1800,0.6404,2812,1.562,moe,False
