source_id,benchmark_name,release_date,average_score,is_sota,p50_estimate_minutes,p50_ci_low_minutes,p50_ci_high_minutes,p80_estimate_minutes,p80_ci_low_minutes,p80_ci_high_minutes,scaffold_family,long_tasks_version,swaa_version
claude_3_5_sonnet_20240620_inspect,METR-Horizon-v1.1,2024-06-20,0.401502,true,11.395377,5.489734,22.384214,1.671757,0.57927,4.573519,metr_agents/react,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
claude_3_5_sonnet_20241022_inspect,METR-Horizon-v1.1,2024-10-22,0.452356,true,20.522872,10.144026,40.82028,2.595677,0.89379,7.363864,metr_agents/react,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
claude_3_7_sonnet_inspect,METR-Horizon-v1.1,2025-02-24,0.558217,true,60.388937,33.006168,104.226017,12.09179,4.575608,28.889879,metr_agents/react,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
claude_3_opus_inspect,METR-Horizon-v1.1,2024-03-04,0.294753,false,3.952262,1.706313,8.76484,0.638973,0.190491,2.118276,metr_agents/react,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
claude_4_1_opus_inspect,METR-Horizon-v1.1,2025-08-05,0.615713,false,100.472004,59.272391,159.451918,23.455761,10.538456,47.785951,metr_agents/react,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
claude_4_opus_inspect,METR-Horizon-v1.1,2025-05-22,0.615452,false,100.366123,59.994073,163.454074,20.429752,8.483125,41.937268,metr_agents/react,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
claude_opus_4_5_inspect,METR-Horizon-v1.1,2025-11-24,0.73007,true,292.994594,161.717714,623.704698,49.430584,20.660485,104.641318,metr_agents/react,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
claude_opus_4_6_inspect,METR-Horizon-v1.1,2026-02-05,0.788644,true,718.80683,316.685725,3633.786163,69.874587,27.026521,170.437873,metr_agents/react,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
davinci_002,METR-Horizon-v1.0,2020-05-28,0.161869,true,0.144057,0.093319,0.221209,0.056238,0.034813,0.105813,modular-public/null,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
gpt_5_3_codex,METR-Horizon-v1.1,2026-02-05,0.745439,false,349.530732,194.913134,816.351994,54.739407,22.361504,122.058963,triframe_inspect/triframe_agent,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
gemini_3_pro,METR-Horizon-v1.1,2025-11-18,0.709822,true,224.325884,139.565157,379.235434,54.142849,25.650451,103.295501,metr_agents/react,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
gemini_3_1_pro,METR-Horizon-v1.1,2026-02-19,0.77035,false,384.147435,233.50073,694.750898,89.801503,52.025934,158.618017,triframe_inspect/triframe_agent,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
gpt2,METR-Horizon-v1.0,2019-02-14,0.101046,true,0.053778,0.009994,0.141825,0.0128,0.001589,0.068612,null,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
gpt_3_5_turbo_instruct,METR-Horizon-v1.0,2022-03-15,0.214611,true,0.599247,0.255148,1.115905,0.25538,0.141649,0.492933,modular-public/null,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
gpt_4,METR-Horizon-v1.1,2023-03-14,0.293044,true,3.987428,1.93292,7.995283,0.889561,0.342984,2.523746,modular-public/null,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
gpt_4_1106_inspect,METR-Horizon-v1.1,2023-11-06,0.28905,true,4.044959,1.866859,8.443226,0.783032,0.276599,2.358414,metr_agents/react,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
gpt_4_turbo_inspect,METR-Horizon-v1.1,2024-04-09,0.271786,false,3.732787,1.980046,6.736613,0.927933,0.428277,2.196806,metr_agents/react,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
gpt_4o_inspect,METR-Horizon-v1.1,2024-05-13,0.338424,true,6.991195,4.001482,12.905741,1.267009,0.562997,3.01517,metr_agents/react,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
gpt_5_1_codex_max_inspect,METR-Horizon-v1.1,2025-11-19,0.708301,false,223.714694,134.31077,396.206723,50.632499,27.30204,88.365435,triframe_inspect/triframe_agent,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
gpt_5_2,METR-Horizon-v1.1,2025-12-11,0.752875,true,352.249302,198.067494,815.177445,66.002649,31.665111,131.730719,triframe_inspect/triframe_agent,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
gpt_5_2025_08_07_inspect,METR-Horizon-v1.1,2025-08-07,0.693697,true,203.012577,112.641357,405.551565,38.312431,19.184874,70.093125,triframe_inspect/triframe_agent,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
gpt_5_4,METR-Horizon-v1.1,2026-03-05,0.743443,false,341.735276,186.581591,768.779526,53.877851,23.957027,108.679232,metr_agents/react,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
o1_inspect,METR-Horizon-v1.1,2024-12-05,0.510512,true,38.831588,21.164512,64.95249,7.090121,3.036033,16.640636,triframe_inspect/triframe_agent,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
o1_preview,METR-Horizon-v1.1,2024-09-12,0.451441,true,20.326586,11.716193,33.379877,4.420545,2.012646,8.912444,duet/null,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
o3_inspect,METR-Horizon-v1.1,2025-04-16,0.636235,true,119.732634,74.615398,190.943818,29.981603,15.127348,57.823511,triframe_inspect/triframe_agent,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
claude_mythos_preview_early_inspect,METR-Horizon-v1.1,2026-04-07,0.85205,true,1044.780145,508.876789,3304.261235,185.911829,97.30292,398.514614,metr_agents/react,799cc9c4b4483a93fc3445623a49ea1bd74fdeb2,f6cc84052e2a79dd540766c8a1b15ff399696371
