snapshot_date,fetched_at_utc,openrouter_model_id,openrouter_model_name,canonical_slug,permaslug,author,created_date,endpoint_id,endpoint_tier_key,service_tier,provider_name,provider_display_name,provider_slug,provider_region,variant,quantization,endpoint_context_length_tokens,max_prompt_tokens,max_completion_tokens,prompt_usd_per_mtoken,completion_usd_per_mtoken,cache_read_usd_per_mtoken,cache_write_usd_per_mtoken,high_context_min_prompt_tokens,high_context_prompt_usd_per_mtoken,high_context_completion_usd_per_mtoken,high_context_cache_read_usd_per_mtoken,high_context_cache_write_usd_per_mtoken,p50_throughput_tps_30m,p75_throughput_tps_30m,p90_throughput_tps_30m,p95_throughput_tps_30m,p99_throughput_tps_30m,p50_latency_seconds_30m,p75_latency_seconds_30m,p90_latency_seconds_30m,p95_latency_seconds_30m,p99_latency_seconds_30m,request_count_30m,window_minutes,pricing_source,stats_source,endpoint_source_url
2026-07-31,2026-07-31T01:09:27+00:00,ai21/jamba-large-1.7,AI21: Jamba Large 1.7,ai21/jamba-large-1.7,ai21/jamba-large-1.7,ai21,2025-08-08,d68054f9-503c-4742-bbbb-32c415d27aa2,d68054f9-503c-4742-bbbb-32c415d27aa2::default,default,AI21,AI21,ai21/fp8,,standard,fp8,256000,,4096,2,8,,,,,,,,17,56.5,62,63,64.22,0.678,0.894,1.885,2.086,2.8994,79,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=ai21%2Fjamba-large-1.7&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,aion-labs/aion-2.0,AionLabs: Aion-2.0,aion-labs/aion-2.0-20260223,aion-labs/aion-2.0-20260223,aion-labs,2026-02-23,1e93b0bb-eb0f-49bc-8fda-947105413b86,1e93b0bb-eb0f-49bc-8fda-947105413b86::default,default,AionLabs,AionLabs,aion-labs,,standard,unknown,131072,,32768,0.8,1.6,0.2,,,,,,,74,79,85,91,96.97,1.087,1.47725,1.842,2.5098,9.3163,504,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=aion-labs%2Faion-2.0-20260223&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,aion-labs/aion-3.0,AionLabs: Aion-3.0,aion-labs/aion-3.0-20260707,aion-labs/aion-3.0-20260707,aion-labs,2026-07-07,8c8f827d-2bef-468a-8f9e-8e27b470de5e,8c8f827d-2bef-468a-8f9e-8e27b470de5e::default,default,AionLabs,AionLabs,aion-labs,,standard,unknown,131072,,32768,3,6,0.75,,,,,,,57,62,67,70,74.22,1.216,2.09,2.8488,3.4628,5.50794,1079,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=aion-labs%2Faion-3.0-20260707&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,aion-labs/aion-3.0-mini,AionLabs: Aion-3.0-Mini,aion-labs/aion-3.0-mini-20260707,aion-labs/aion-3.0-mini-20260707,aion-labs,2026-07-07,0ad7ab68-a351-4a96-b2ef-fa8fe13adae3,0ad7ab68-a351-4a96-b2ef-fa8fe13adae3::default,default,AionLabs,AionLabs,aion-labs,,standard,unknown,131072,,32768,0.7,1.4,0.18,,,,,,,70,78,86,89.4,98,0.845,1.159,1.6674,2.0796,10.99572,453,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=aion-labs%2Faion-3.0-mini-20260707&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,aion-labs/aion-rp-llama-3.1-8b,AionLabs: Aion-RP 1.0 (8B),aion-labs/aion-rp-llama-3.1-8b,aion-labs/aion-rp-llama-3.1-8b,aion-labs,2025-02-04,fd456f92-a506-4249-8527-988e9c1d84b3,fd456f92-a506-4249-8527-988e9c1d84b3::default,default,AionLabs,AionLabs,aion-labs,,standard,unknown,32768,,32768,0.8,1.6,,,,,,,,10,13.5,18.8,30.7,35.74,0.738,0.829,1.0638,1.8884,2.18648,19,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=aion-labs%2Faion-rp-llama-3.1-8b&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,allenai/olmo-3-32b-think,AllenAI: Olmo 3 32B Think,allenai/olmo-3-32b-think-20251121,allenai/olmo-3-32b-think-20251121,allenai,2025-11-21,7282df05-53d5-4f61-9104-05a2ea109ffa,7282df05-53d5-4f61-9104-05a2ea109ffa::default,default,Parasail,Parasail,parasail/bf16,,standard,bf16,65536,,65536,0.15,0.5,,,,,,,,,,,,,,,,,,,,endpoint.pricing,endpoint.stats,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=allenai%2Folmo-3-32b-think-20251121&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,amazon/nova-2-lite-v1,amazon/nova-2-lite-v1,amazon,2025-12-02,b1b489e5-7029-4ab2-9e12-5415b55b4afa,b1b489e5-7029-4ab2-9e12-5415b55b4afa::default,default,Amazon Bedrock,Amazon Bedrock,amazon-bedrock,,standard,unknown,1000000,,65535,0.3,2.5,,,,,,,,32,69,130.8,147,194.9,0.474,0.985,1.7454,2.1768,3.16754,243,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=amazon%2Fnova-2-lite-v1&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,amazon/nova-2-lite-v1,amazon/nova-2-lite-v1,amazon,2025-12-02,bccd64e6-206f-4723-a55e-25167dc4e253,bccd64e6-206f-4723-a55e-25167dc4e253::default,default,Amazon Bedrock,Amazon Bedrock,amazon-bedrock/eu-west-1,eu-west-1,standard,unknown,1000000,,65535,0.3,2.5,,,,,,,,26,71,131,148.2,199.96,0.6,0.841,1.9938,2.3558,2.95072,257,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=amazon%2Fnova-2-lite-v1&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,amazon/nova-lite-v1,Amazon: Nova Lite 1.0,amazon/nova-lite-v1,amazon/nova-lite-v1,amazon,2024-12-05,72eda073-d180-4482-8e4f-81051cb66f7e,72eda073-d180-4482-8e4f-81051cb66f7e::default,default,Amazon Bedrock,Amazon Bedrock,amazon-bedrock,,standard,unknown,300000,,5120,0.06,0.24,,,,,,,,79,127,152.1,165.3,181.15,0.4745,0.5915,0.6626,0.71345,0.83069,60,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=amazon%2Fnova-lite-v1&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,amazon/nova-lite-v1,Amazon: Nova Lite 1.0,amazon/nova-lite-v1,amazon/nova-lite-v1,amazon,2024-12-05,908f5353-fba6-488c-8fd4-e9f041d32ac1,908f5353-fba6-488c-8fd4-e9f041d32ac1::default,default,Amazon Bedrock,Amazon Bedrock,amazon-bedrock/eu-west-1,eu-west-1,standard,unknown,300000,,5120,0.06,0.24,,,,,,,,78,170.75,220,258.5,355.75,0.6675,0.808,0.8925,0.918,1.02575,76,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=amazon%2Fnova-lite-v1&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,amazon/nova-micro-v1,Amazon: Nova Micro 1.0,amazon/nova-micro-v1,amazon/nova-micro-v1,amazon,2024-12-05,474f0074-66f9-42f0-a866-81a2ffebb001,474f0074-66f9-42f0-a866-81a2ffebb001::default,default,Amazon Bedrock,Amazon Bedrock,amazon-bedrock,,standard,unknown,128000,,5120,0.035,0.14,,,,,,,,127,158.25,190,211,292.36,0.43,0.529,0.725,1.019,1.42918,22118,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=amazon%2Fnova-micro-v1&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,amazon/nova-micro-v1,Amazon: Nova Micro 1.0,amazon/nova-micro-v1,amazon/nova-micro-v1,amazon,2024-12-05,b2fd24f9-80a2-4d47-8b3b-209fbc345d69,b2fd24f9-80a2-4d47-8b3b-209fbc345d69::default,default,Amazon Bedrock,Amazon Bedrock,amazon-bedrock/eu-west-1,eu-west-1,standard,unknown,128000,,5120,0.035,0.14,,,,,,,,138,168,216.4,241.2,286.28,0.473,0.695,0.968,1.1232,1.60564,157,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=amazon%2Fnova-micro-v1&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,amazon/nova-premier-v1,Amazon: Nova Premier 1.0,amazon/nova-premier-v1,amazon/nova-premier-v1,amazon,2025-10-31,6e4da481-6c8d-45d0-a3f5-11a9ba527485,6e4da481-6c8d-45d0-a3f5-11a9ba527485::default,default,Amazon Bedrock,Amazon Bedrock,amazon-bedrock,,standard,unknown,1000000,,32000,2.5,12.5,0.625,,,,,,,25,44.5,48.1,49.55,72.72,0.425,0.5065,0.6198,0.69905,1.86063,30,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=amazon%2Fnova-premier-v1&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,amazon/nova-pro-v1,Amazon: Nova Pro 1.0,amazon/nova-pro-v1,amazon/nova-pro-v1,amazon,2024-12-05,959381a4-8054-450f-9daf-5fcab64ba9aa,959381a4-8054-450f-9daf-5fcab64ba9aa::default,default,Amazon Bedrock,Amazon Bedrock,amazon-bedrock,,standard,unknown,300000,,5120,0.8,3.2,,,,,,,,12,42,70,99,122.2,0.379,0.4865,0.612,0.6865,0.7461,11,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=amazon%2Fnova-pro-v1&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,amazon/nova-pro-v1,Amazon: Nova Pro 1.0,amazon/nova-pro-v1,amazon/nova-pro-v1,amazon,2024-12-05,ffa54e7c-474e-4dc9-ac20-ef8015adb8d0,ffa54e7c-474e-4dc9-ac20-ef8015adb8d0::default,default,Amazon Bedrock,Amazon Bedrock,amazon-bedrock/eu-west-1,eu-west-1,standard,unknown,300000,,5120,0.8,3.2,,,,,,,,8.5,111,136.8,139.45,139.89,0.655,0.81,0.8373,0.94665,1.05093,12,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=amazon%2Fnova-pro-v1&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,anthracite-org/magnum-v4-72b,Magnum v4 72B,anthracite-org/magnum-v4-72b,anthracite-org/magnum-v4-72b,anthracite-org,2024-10-22,7f8d0c76-0eab-4606-9f4c-d0b4414e2cf1,7f8d0c76-0eab-4606-9f4c-d0b4414e2cf1::default,default,Mancer 2,Mancer,mancer/fp8,,standard,fp8,16384,,2048,3,5,,,,,,,,31,37,45,46,47,0.906,1.178,2.0418,2.443,4.02592,65,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=anthracite-org%2Fmagnum-v4-72b&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,anthropic/claude-3-haiku,Anthropic: Claude 3 Haiku,anthropic/claude-3-haiku,anthropic/claude-3-haiku,anthropic,2024-03-13,401c6f0f-caeb-4c84-92b7-e163dbccf7c2,401c6f0f-caeb-4c84-92b7-e163dbccf7c2::default,default,Amazon Bedrock,Amazon Bedrock,amazon-bedrock,,standard,unknown,200000,,4096,0.25,1.25,0.03,0.3,,,,,,56,76,100,115,150,0.397,0.52,0.9125,1.0895,2.3136,1586,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=anthropic%2Fclaude-3-haiku&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,anthropic/claude-fable-5,Anthropic: Claude Fable 5,anthropic/claude-5-fable-20260609,anthropic/claude-5-fable-20260609,anthropic,2026-06-09,52afa9b6-8499-4575-9932-f67190705711,52afa9b6-8499-4575-9932-f67190705711::default,default,Amazon Bedrock,Amazon Bedrock,amazon-bedrock,us-east-1,standard,unknown,1000000,,128000,10,50,1,12.5,,,,,,47,48,58,63,67,6.178,6.8675,7.7945,8.17275,8.47535,6,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=anthropic%2Fclaude-5-fable-20260609&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,anthropic/claude-fable-5,Anthropic: Claude Fable 5,anthropic/claude-5-fable-20260609,anthropic/claude-5-fable-20260609,anthropic,2026-06-09,6ffa85d6-4e53-47f3-a76e-1ba543eb4773,6ffa85d6-4e53-47f3-a76e-1ba543eb4773::default,default,Amazon Bedrock,Claude Platform on AWS,amazon-bedrock/claude-on-aws,,standard,unknown,1000000,,128000,10,50,1,12.5,,,,,,47,60,69,74,89,5.816,7.251,8.9492,10.081,15.56866,5303,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=anthropic%2Fclaude-5-fable-20260609&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,anthropic/claude-fable-5,Anthropic: Claude Fable 5,anthropic/claude-5-fable-20260609,anthropic/claude-5-fable-20260609,anthropic,2026-06-09,adbe7cef-baaa-428c-8b8d-59d93e17cb47,adbe7cef-baaa-428c-8b8d-59d93e17cb47::default,default,Anthropic,Anthropic,anthropic,,standard,unknown,1000000,,128000,10,50,1,12.5,,,,,,42,58,70,78,91.55,6.0765,7.3265,9.5635,11.6745,20.37175,746,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=anthropic%2Fclaude-5-fable-20260609&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,anthropic/claude-fable-5,Anthropic: Claude Fable 5,anthropic/claude-5-fable-20260609,anthropic/claude-5-fable-20260609,anthropic,2026-06-09,60a9611a-2aac-4918-9bf7-4879278d9fff,60a9611a-2aac-4918-9bf7-4879278d9fff::default,default,Azure,Azure (BYOK Only),azure,,standard,unknown,1000000,,128000,10,50,1,12.5,,,,,,33,44,59,62.4,72.24,7.231,9.749,11.572,17.4762,29.24944,53,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=anthropic%2Fclaude-5-fable-20260609&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,anthropic/claude-fable-5,Anthropic: Claude Fable 5,anthropic/claude-5-fable-20260609,anthropic/claude-5-fable-20260609,anthropic,2026-06-09,212020fd-ae3e-48f8-a1b9-ba46a74b835b,212020fd-ae3e-48f8-a1b9-ba46a74b835b::default,default,Google,Google Vertex (Europe),google-vertex/europe,europe-west1,standard,unknown,1000000,,128000,11,55,1.1,13.75,,,,,,,,,,,,,,,,,,endpoint.pricing,endpoint.stats,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=anthropic%2Fclaude-5-fable-20260609&variant=standard
2026-07-31,2026-07-31T01:09:27+00:00,anthropic/claude-fable-5,Anthropic: Claude Fable 5,anthropic/claude-5-fable-20260609,anthropic/claude-5-fable-20260609,anthropic,2026-06-09,71317945-4da9-4076-ba2f-511f47ce3a24,71317945-4da9-4076-ba2f-511f47ce3a24::default,default,Google,Google Vertex,google-vertex/global,global,standard,unknown,1000000,,128000,10,50,1,12.5,,,,,,59,71,79,83,98.82,3.99,4.721,5.6902,7.6246,13.71356,419,30,endpoint.pricing,endpoint.statsByTier.default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=anthropic%2Fclaude-5-fable-20260609&variant=standard
