snapshot_date,fetched_at_utc,openrouter_model_id,openrouter_model_name,canonical_slug,author,created_date,permaslug,hugging_face_id,model_context_length_tokens,endpoint_id,provider_name,provider_display_name,provider_slug,provider_model_id,provider_region,variant,quantization,endpoint_context_length_tokens,max_completion_tokens,prompt_usd_per_mtoken,completion_usd_per_mtoken,cache_read_usd_per_mtoken,cache_write_usd_per_mtoken,p50_throughput_tps_30m,p75_throughput_tps_30m,p90_throughput_tps_30m,p50_latency_seconds_30m,request_count_30m,window_minutes,throughput_daily_observations_1w,throughput_median_tps_1w,throughput_mean_tps_1w,throughput_min_tps_1w,throughput_max_tps_1w,throughput_service_tier_1w,endpoint_source_url,throughput_source_url
2026-07-18,2026-07-18T08:32:31+00:00,ai21/jamba-large-1.7,AI21: Jamba Large 1.7,ai21/jamba-large-1.7,ai21,2025-08-08,ai21/jamba-large-1.7,ai21labs/AI21-Jamba-Large-1.7,256000,d68054f9-503c-4742-bbbb-32c415d27aa2,AI21,AI21,ai21/fp8,jamba-large-1.7-2025-07,,standard,fp8,256000,4096,2,8,,,38,50.5,56,0.539,83,30,8,17,19.875,5,33,default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=ai21%2Fjamba-large-1.7&variant=standard,https://openrouter.ai/api/frontend/v1/stats/throughput-comparison?permaslug=ai21%2Fjamba-large-1.7&timeRange=1w
2026-07-18,2026-07-18T08:32:31+00:00,aion-labs/aion-2.0,AionLabs: Aion-2.0,aion-labs/aion-2.0-20260223,aion-labs,2026-02-23,aion-labs/aion-2.0-20260223,,131072,1e93b0bb-eb0f-49bc-8fda-947105413b86,AionLabs,AionLabs,aion-labs,aion-labs/aion-2.0,,standard,unknown,131072,32768,0.8,1.6,0.2,,76,85,92,1.161,509,30,8,62,60.75,47,72,default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=aion-labs%2Faion-2.0-20260223&variant=standard,https://openrouter.ai/api/frontend/v1/stats/throughput-comparison?permaslug=aion-labs%2Faion-2.0-20260223&timeRange=1w
2026-07-18,2026-07-18T08:32:31+00:00,aion-labs/aion-3.0,AionLabs: Aion-3.0,aion-labs/aion-3.0-20260707,aion-labs,2026-07-07,aion-labs/aion-3.0-20260707,,131072,8c8f827d-2bef-468a-8f9e-8e27b470de5e,AionLabs,AionLabs,aion-labs,aion-labs/aion-3.0,,standard,unknown,131072,32768,3,6,0.75,,56,65,71,1.153,805,30,8,47.5,46.5,38,51,default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=aion-labs%2Faion-3.0-20260707&variant=standard,https://openrouter.ai/api/frontend/v1/stats/throughput-comparison?permaslug=aion-labs%2Faion-3.0-20260707&timeRange=1w
2026-07-18,2026-07-18T08:32:31+00:00,aion-labs/aion-3.0-mini,AionLabs: Aion-3.0-Mini,aion-labs/aion-3.0-mini-20260707,aion-labs,2026-07-07,aion-labs/aion-3.0-mini-20260707,,131072,0ad7ab68-a351-4a96-b2ef-fa8fe13adae3,AionLabs,AionLabs,aion-labs,aion-labs/aion-3.0-mini,,standard,unknown,131072,32768,0.7,1.4,0.18,,73,80,86.1,0.799,340,30,8,61,60,47,73,default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=aion-labs%2Faion-3.0-mini-20260707&variant=standard,https://openrouter.ai/api/frontend/v1/stats/throughput-comparison?permaslug=aion-labs%2Faion-3.0-mini-20260707&timeRange=1w
2026-07-18,2026-07-18T08:32:31+00:00,aion-labs/aion-rp-llama-3.1-8b,AionLabs: Aion-RP 1.0 (8B),aion-labs/aion-rp-llama-3.1-8b,aion-labs,2025-02-04,aion-labs/aion-rp-llama-3.1-8b,,32768,fd456f92-a506-4249-8527-988e9c1d84b3,AionLabs,AionLabs,aion-labs,aion-labs/aion-rp-llama-3.1-8b,,standard,unknown,32768,32768,0.8,1.6,,,18,34,38.8,0.66,53,30,8,17.5,19.25,15,31,default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=aion-labs%2Faion-rp-llama-3.1-8b&variant=standard,https://openrouter.ai/api/frontend/v1/stats/throughput-comparison?permaslug=aion-labs%2Faion-rp-llama-3.1-8b&timeRange=1w
2026-07-18,2026-07-18T08:32:31+00:00,allenai/olmo-3-32b-think,AllenAI: Olmo 3 32B Think,allenai/olmo-3-32b-think-20251121,allenai,2025-11-21,allenai/olmo-3-32b-think-20251121,allenai/Olmo-3-32B-Think,65536,7282df05-53d5-4f61-9104-05a2ea109ffa,Parasail,Parasail,parasail/bf16,parasail-olmo-3-32b-think,,standard,bf16,65536,65536,0.15,0.5,,,,,,,,,0,,,,,default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=allenai%2Folmo-3-32b-think-20251121&variant=standard,https://openrouter.ai/api/frontend/v1/stats/throughput-comparison?permaslug=allenai%2Folmo-3-32b-think-20251121&timeRange=1w
2026-07-18,2026-07-18T08:32:31+00:00,amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,amazon/nova-2-lite-v1,amazon,2025-12-02,amazon/nova-2-lite-v1,,1000000,b1b489e5-7029-4ab2-9e12-5415b55b4afa,Amazon Bedrock,Amazon Bedrock,amazon-bedrock,us.amazon.nova-2-lite-v1:0,,standard,unknown,1000000,65535,0.3,2.5,,,112,143,162,1.106,679,30,8,35,59.375,23,115,default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=amazon%2Fnova-2-lite-v1&variant=standard,https://openrouter.ai/api/frontend/v1/stats/throughput-comparison?permaslug=amazon%2Fnova-2-lite-v1&timeRange=1w
2026-07-18,2026-07-18T08:32:31+00:00,amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,amazon/nova-2-lite-v1,amazon,2025-12-02,amazon/nova-2-lite-v1,,1000000,bccd64e6-206f-4723-a55e-25167dc4e253,Amazon Bedrock,Amazon Bedrock,amazon-bedrock/eu-west-1,eu.amazon.nova-2-lite-v1:0,eu-west-1,standard,unknown,1000000,65535,0.3,2.5,,,19,61,113.2,0.607,137,30,8,111,109.375,96,116,default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=amazon%2Fnova-2-lite-v1&variant=standard,https://openrouter.ai/api/frontend/v1/stats/throughput-comparison?permaslug=amazon%2Fnova-2-lite-v1&timeRange=1w
2026-07-18,2026-07-18T08:32:31+00:00,amazon/nova-lite-v1,Amazon: Nova Lite 1.0,amazon/nova-lite-v1,amazon,2024-12-05,amazon/nova-lite-v1,,300000,72eda073-d180-4482-8e4f-81051cb66f7e,Amazon Bedrock,Amazon Bedrock,amazon-bedrock,us.amazon.nova-lite-v1:0,,standard,unknown,300000,5120,0.06,0.24,,,146,186,223,0.439,2007,30,8,111,106.5,67,122,default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=amazon%2Fnova-lite-v1&variant=standard,https://openrouter.ai/api/frontend/v1/stats/throughput-comparison?permaslug=amazon%2Fnova-lite-v1&timeRange=1w
2026-07-18,2026-07-18T08:32:31+00:00,amazon/nova-lite-v1,Amazon: Nova Lite 1.0,amazon/nova-lite-v1,amazon,2024-12-05,amazon/nova-lite-v1,,300000,908f5353-fba6-488c-8fd4-e9f041d32ac1,Amazon Bedrock,Amazon Bedrock,amazon-bedrock/eu-west-1,eu.amazon.nova-lite-v1:0,eu-west-1,standard,unknown,300000,5120,0.06,0.24,,,103,169,207.8,0.453,383,30,8,105.5,96.25,24,135,default,https://openrouter.ai/api/frontend/v1/stats/endpoint?permaslug=amazon%2Fnova-lite-v1&variant=standard,https://openrouter.ai/api/frontend/v1/stats/throughput-comparison?permaslug=amazon%2Fnova-lite-v1&timeRange=1w
