fetched_at_utc,openrouter_model_id,openrouter_model_name,provider_name,provider_tag,service_tier,quantization,context_length_tokens,max_prompt_tokens,max_completion_tokens,prompt_usd_per_mtoken,completion_usd_per_mtoken,cache_read_usd_per_mtoken,cache_write_usd_per_mtoken,high_context_min_prompt_tokens,high_context_prompt_usd_per_mtoken,high_context_completion_usd_per_mtoken,high_context_cache_read_usd_per_mtoken,high_context_cache_write_usd_per_mtoken,status,uptime_last_30m,uptime_last_5m,uptime_last_1d,source_url
2026-07-31T01:24:28+00:00,ai21/jamba-large-1.7,AI21: Jamba Large 1.7,AI21,ai21/fp8,default,fp8,256000,,4096,2,8,,,,,,,,0,100,100,100,https://openrouter.ai/api/v1/models/ai21/jamba-large-1.7/endpoints
2026-07-31T01:24:28+00:00,aion-labs/aion-2.0,AionLabs: Aion-2.0,AionLabs,aion-labs,default,unknown,131072,,32768,0.8,1.6,0.2,,,,,,,0,100,100,100,https://openrouter.ai/api/v1/models/aion-labs/aion-2.0/endpoints
2026-07-31T01:24:28+00:00,aion-labs/aion-3.0,AionLabs: Aion-3.0,AionLabs,aion-labs,default,unknown,131072,,32768,3,6,0.75,,,,,,,0,100,100,100,https://openrouter.ai/api/v1/models/aion-labs/aion-3.0/endpoints
2026-07-31T01:24:28+00:00,aion-labs/aion-3.0-mini,AionLabs: Aion-3.0-Mini,AionLabs,aion-labs,default,unknown,131072,,32768,0.7,1.4,0.18,,,,,,,0,100,100,100,https://openrouter.ai/api/v1/models/aion-labs/aion-3.0-mini/endpoints
2026-07-31T01:24:28+00:00,aion-labs/aion-rp-llama-3.1-8b,AionLabs: Aion-RP 1.0 (8B),AionLabs,aion-labs,default,unknown,32768,,32768,0.8,1.6,,,,,,,,0,,,100,https://openrouter.ai/api/v1/models/aion-labs/aion-rp-llama-3.1-8b/endpoints
2026-07-31T01:24:28+00:00,amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,Amazon Bedrock,amazon-bedrock,default,unknown,1000000,,65535,0.3,2.5,,,,,,,,0,100,100,99.7764530551,https://openrouter.ai/api/v1/models/amazon/nova-2-lite-v1/endpoints
2026-07-31T01:24:28+00:00,amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,Amazon Bedrock,amazon-bedrock/eu-west-1,default,unknown,1000000,,65535,0.3,2.5,,,,,,,,0,100,100,99.7626871121,https://openrouter.ai/api/v1/models/amazon/nova-2-lite-v1/endpoints
2026-07-31T01:24:28+00:00,amazon/nova-lite-v1,Amazon: Nova Lite 1.0,Amazon Bedrock,amazon-bedrock,default,unknown,300000,,5120,0.06,0.24,,,,,,,,0,,,99.9754645592,https://openrouter.ai/api/v1/models/amazon/nova-lite-v1/endpoints
2026-07-31T01:24:28+00:00,amazon/nova-lite-v1,Amazon: Nova Lite 1.0,Amazon Bedrock,amazon-bedrock/eu-west-1,default,unknown,300000,,5120,0.06,0.24,,,,,,,,0,,,76.2586181241,https://openrouter.ai/api/v1/models/amazon/nova-lite-v1/endpoints
2026-07-31T01:24:28+00:00,amazon/nova-micro-v1,Amazon: Nova Micro 1.0,Amazon Bedrock,amazon-bedrock,default,unknown,128000,,5120,0.035,0.14,,,,,,,,0,99.9943585693,100,84.3563354691,https://openrouter.ai/api/v1/models/amazon/nova-micro-v1/endpoints
2026-07-31T01:24:28+00:00,amazon/nova-micro-v1,Amazon: Nova Micro 1.0,Amazon Bedrock,amazon-bedrock/eu-west-1,default,unknown,128000,,5120,0.035,0.14,,,,,,,,-5,47.3954983923,25.6795835743,16.1533072964,https://openrouter.ai/api/v1/models/amazon/nova-micro-v1/endpoints
2026-07-31T01:24:28+00:00,amazon/nova-premier-v1,Amazon: Nova Premier 1.0,Amazon Bedrock,amazon-bedrock,default,unknown,1000000,,32000,2.5,12.5,0.625,,,,,,,0,100,100,100,https://openrouter.ai/api/v1/models/amazon/nova-premier-v1/endpoints
2026-07-31T01:24:28+00:00,amazon/nova-pro-v1,Amazon: Nova Pro 1.0,Amazon Bedrock,amazon-bedrock,default,unknown,300000,,5120,0.8,3.2,,,,,,,,0,,,100,https://openrouter.ai/api/v1/models/amazon/nova-pro-v1/endpoints
2026-07-31T01:24:28+00:00,amazon/nova-pro-v1,Amazon: Nova Pro 1.0,Amazon Bedrock,amazon-bedrock/eu-west-1,default,unknown,300000,,5120,0.8,3.2,,,,,,,,0,100,,99.9657885734,https://openrouter.ai/api/v1/models/amazon/nova-pro-v1/endpoints
2026-07-31T01:24:28+00:00,anthracite-org/magnum-v4-72b,Magnum v4 72B,Mancer 2,mancer/fp8,default,fp8,16384,,2048,3,5,,,,,,,,0,,,100,https://openrouter.ai/api/v1/models/anthracite-org/magnum-v4-72b/endpoints
2026-07-31T01:24:28+00:00,anthropic/claude-3-haiku,Anthropic: Claude 3 Haiku,Amazon Bedrock,amazon-bedrock,default,unknown,200000,,4096,0.25,1.25,0.03,0.3,,,,,,0,100,100,100,https://openrouter.ai/api/v1/models/anthropic/claude-3-haiku/endpoints
2026-07-31T01:24:28+00:00,anthropic/claude-fable-5,Anthropic: Claude Fable 5,Amazon Bedrock,amazon-bedrock,default,unknown,1000000,,128000,10,50,1,12.5,,,,,,0,,,,https://openrouter.ai/api/v1/models/anthropic/claude-fable-5/endpoints
2026-07-31T01:24:28+00:00,anthropic/claude-fable-5,Anthropic: Claude Fable 5,Amazon Bedrock,amazon-bedrock/claude-on-aws,default,unknown,1000000,,128000,10,50,1,12.5,,,,,,0,99.1833508957,99.4328922495,96.8239982378,https://openrouter.ai/api/v1/models/anthropic/claude-fable-5/endpoints
2026-07-31T01:24:28+00:00,anthropic/claude-fable-5,Anthropic: Claude Fable 5,Anthropic,anthropic,default,unknown,1000000,,128000,10,50,1,12.5,,,,,,-2,84.2639593909,,84.5367288863,https://openrouter.ai/api/v1/models/anthropic/claude-fable-5/endpoints
2026-07-31T01:24:28+00:00,anthropic/claude-fable-5,Anthropic: Claude Fable 5,Azure,azure,default,unknown,1000000,,128000,10,50,1,12.5,,,,,,0,,,96.5906333414,https://openrouter.ai/api/v1/models/anthropic/claude-fable-5/endpoints
2026-07-31T01:24:28+00:00,anthropic/claude-fable-5,Anthropic: Claude Fable 5,Google,google-vertex/europe,default,unknown,1000000,,128000,11,55,1.1,13.75,,,,,,0,,,,https://openrouter.ai/api/v1/models/anthropic/claude-fable-5/endpoints
2026-07-31T01:24:28+00:00,anthropic/claude-fable-5,Anthropic: Claude Fable 5,Google,google-vertex/global,default,unknown,1000000,,128000,10,50,1,12.5,,,,,,-2,90.1898734177,,91.3737335935,https://openrouter.ai/api/v1/models/anthropic/claude-fable-5/endpoints
2026-07-31T01:24:28+00:00,anthropic/claude-fable-5:batch,Anthropic: Claude Fable 5 (batch),Anthropic,anthropic,default,unknown,1000000,,128000,5,25,0.5,6.25,,,,,,0,,,,https://openrouter.ai/api/v1/models/anthropic/claude-fable-5:batch/endpoints
2026-07-31T01:24:28+00:00,anthropic/claude-haiku-4.5,Anthropic: Claude Haiku 4.5,Amazon Bedrock,amazon-bedrock/eu-west-1,default,unknown,200000,,64000,1.1,5.5,0.11,1.375,,,,,,0,,,100,https://openrouter.ai/api/v1/models/anthropic/claude-haiku-4.5/endpoints
2026-07-31T01:24:28+00:00,anthropic/claude-haiku-4.5,Anthropic: Claude Haiku 4.5,Amazon Bedrock,amazon-bedrock/global,default,unknown,200000,,64000,1,5,0.1,1.25,,,,,,0,99.9323618029,99.9912533893,99.869843908,https://openrouter.ai/api/v1/models/anthropic/claude-haiku-4.5/endpoints
2026-07-31T01:24:28+00:00,anthropic/claude-haiku-4.5,Anthropic: Claude Haiku 4.5,Anthropic,anthropic,default,unknown,200000,,64000,1,5,0.1,1.25,,,,,,0,100,100,99.889957265,https://openrouter.ai/api/v1/models/anthropic/claude-haiku-4.5/endpoints
2026-07-31T01:24:28+00:00,anthropic/claude-haiku-4.5,Anthropic: Claude Haiku 4.5,Azure,azure/us-east-2,default,unknown,200000,,64000,1,5,0.1,1.25,,,,,,0,,,96.4618249534,https://openrouter.ai/api/v1/models/anthropic/claude-haiku-4.5/endpoints
2026-07-31T01:24:28+00:00,anthropic/claude-haiku-4.5,Anthropic: Claude Haiku 4.5,Google,google-vertex/europe,default,unknown,200000,,64000,1.1,5.5,0.11,1.375,,,,,,0,,,98.9478957916,https://openrouter.ai/api/v1/models/anthropic/claude-haiku-4.5/endpoints
2026-07-31T01:24:28+00:00,anthropic/claude-haiku-4.5,Anthropic: Claude Haiku 4.5,Google,google-vertex/global,default,unknown,200000,,64000,1,5,0.1,1.25,,,,,,0,100,100,99.7122407127,https://openrouter.ai/api/v1/models/anthropic/claude-haiku-4.5/endpoints
2026-07-31T01:24:28+00:00,anthropic/claude-haiku-4.5:batch,Anthropic: Claude Haiku 4.5 (batch),Anthropic,anthropic,default,unknown,200000,,64000,0.5,2.5,0.05,0.625,,,,,,0,,,,https://openrouter.ai/api/v1/models/anthropic/claude-haiku-4.5:batch/endpoints
2026-07-31T01:24:28+00:00,anthropic/claude-opus-4,Anthropic: Claude Opus 4,Google,google-vertex,default,unknown,200000,,32000,15,75,1.5,18.75,,,,,,0,100,100,100,https://openrouter.ai/api/v1/models/anthropic/claude-opus-4/endpoints
2026-07-31T01:24:28+00:00,anthropic/claude-opus-4.1,Anthropic: Claude Opus 4.1,Amazon Bedrock,amazon-bedrock,default,unknown,200000,,32000,15,75,1.5,18.75,,,,,,0,99.5412844037,,99.8424093854,https://openrouter.ai/api/v1/models/anthropic/claude-opus-4.1/endpoints
